DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,7,4,8,4,6,5,0,87,10,1012,26125,7,2,3,119,116,116,0,2,8.7,météo très défavorable,Bordeaux
2021-01-02,4,0,14,0,3,3,0.1,86,10,1017,24.25,4,0,-4,116,116,116,0,1,8.7,météo très défavorable,Bordeaux
2021-01-03,5,2,6,2,4,3,0.5,84,9875,1017,67.75,5,1,1,119,116,317,0,2,5.1,météo très défavorable,Bordeaux
2021-01-04,4,2,13,2,3,3,0.1,91,10,1014,69625,4,1,-1,122,122,116,0,1,6.9,météo très défavorable,Bordeaux
2021-01-05,3,0,8,0,3,3,0,85,10,1016,78.5,3,0,-2,116,122,122,0,2,3.4,météo très défavorable,Bordeaux
2021-01-06,5,2,6,2,4,2,0,76,10,1019,40.75,5,0,0,119,116,116,0,1,8.7,météo très défavorable,Bordeaux
2021-01-07,4,0,9,0,3,2,0,78,10,1018,22875,4,0,-2,116,116,116,0,2,8.7,météo très défavorable,Bordeaux
2021-01-08,4,1,9,1,3,2,0,82,10,1019,6.25,4,0,-2,116,116,116,0,2,8.7,météo très défavorable,Bordeaux
2021-01-09,5,0,15,0,3,3,0,74,10,1016,62.25,5,0,-4,122,122,116,0,2,5.2,météo très défavorable,Bordeaux
2021-01-10,4,0,21,0,2,2,0,70,10,1022,9875,4,0,-5,116,113,113,0,2,8.7,météo très défavorable,Bordeaux
2021-01-11,5,-2,11,-2,2,3,0,90,10,1027,8875,5,0,-6,116,116,113,0,2,8.7,météo très défavorable,Bordeaux
2021-01-12,8,4,13,4,7,8,0.4,88,10,1028,95.25,8,7,1,119,176,176,0,2,3.4,météo très défavorable,Bordeaux
2021-01-13,11,9,15,9,11,10,1.1,92,9.75,1030,68875,11,8,7,353,176,176,0,2,3.4,météo défavorable,Bordeaux
2021-01-14,10,8,17,8,9,8,1.5,90,9,1030,78.5,10,9,6,176,176,266,0,2,3.4,météo défavorable,Bordeaux
2021-01-15,9,6,16,6,8,7,0,89,10,1030,71.5,9,7,4,116,122,122,0,2,3.4,météo défavorable,Bordeaux
2021-01-16,7,2,5,2,6,6,0.2,82,10,1031,70,7,5,1,119,116,176,0,1,5.2,météo très défavorable,Bordeaux
2021-01-17,10,9,9,10,9,8,7.6,96,7.25,1028,97125,10,10,9,296,296,266,0,2,3.4,météo défavorable,Bordeaux
2021-01-18,9,4,7,4,7,7,0,87,10,1031,10.5,9,2,2,116,116,116,0,3,8.7,météo très défavorable,Bordeaux
2021-01-19,11,2,10,2,8,9,0,85,10,1026,3.5,11,2,0,116,113,113,0,3,8.7,météo très défavorable,Bordeaux
2021-01-20,12,5,20,5,10,11,0.2,74,10,1012,50.75,12,5,2,116,116,116,0,3,5.2,météo très défavorable,Bordeaux
2021-01-21,14,11,28,11,12,12,10.3,89,6,1005,93125,14,9,9,296,266,389,0,3,3.5,météo défavorable,Bordeaux
2021-01-22,11,8,32,10,10,5,12.4,87,9,1005,82.5,11,7,4,119,302,302,0,2,3.5,météo défavorable,Bordeaux
2021-01-23,9,8,41,8,9,8,3.2,76,9.5,1005,83125,9,5,4,389,353,353,0,2,3.5,météo défavorable,Bordeaux
2021-01-24,10,6,22,6,9,9,6.7,92,9625,1007,79375,10,6,5,296,353,353,0,2,8.2,météo défavorable,Bordeaux
2021-01-25,9,6,8,6,8,8,0.2,78,10,1019,54375,9,4,5,176,122,116,0,2,9.7,météo défavorable,Bordeaux
2021-01-26,7,1,12,1,5,6,0,81,10,1023,29125,7,1,-1,116,116,116,0,2,9.7,météo très défavorable,Bordeaux
2021-01-27,14,10,14,10,14,13,0.4,98,6875,1023,95625,14,12,9,248,353,122,0,3,4.9,météo défavorable,Bordeaux
2021-01-28,16,12,15,12,14,14,0.5,95,8625,1022,95.5,16,12,11,122,176,122,0,3,4.9,météo défavorable,Bordeaux
2021-01-29,13,12,21,12,13,12,5.5,90,8.75,1017,70875,13,12,10,389,176,116,0,4,9.8,météo défavorable,Bordeaux
2021-01-30,12,11,28,12,12,10,4.4,83,8375,1010,95125,12,10,8,122,353,353,0,3,4.9,météo défavorable,Bordeaux
2021-01-31,12,11,21,11,12,11,3.9,90,9875,1006,98625,12,10,9,296,122,353,0,3,4.9,météo défavorable,Bordeaux
2021-02-01,14,11,32,11,13,13,2.5,84,9.25,1011,93125,14,11,8,296,176,176,0,3,5,météo défavorable,Bordeaux
2021-02-02,15,12,13,12,13,14,4.1,94,6375,1013,89.5,15,11,11,296,266,119,0,3,5,météo défavorable,Bordeaux
2021-02-03,14,12,23,12,13,12,2.2,78,8.75,1011,62375,14,10,10,116,176,116,0,3,9.9,météo correcte,Bordeaux
2021-02-04,13,11,16,12,12,12,0.6,88,7.75,1012,72.25,13,10,10,266,263,116,0,4,9.9,météo défavorable,Bordeaux
2021-02-05,11,9,11,10,10,10,9.2,93,8375,1013,94875,11,9,8,296,296,296,0,3,5,météo défavorable,Bordeaux
2021-02-06,13,10,15,10,12,11,7.7,94,7.5,1004,85875,13,10,9,122,296,353,0,3,5,météo défavorable,Bordeaux
2021-02-07,9,6,15,6,9,8,2.6,84,10,1006,71375,9,6,4,119,353,353,0,2,6.7,météo défavorable,Bordeaux
2021-02-08,11,7,24,7,10,11,4.2,96,9625,1000,96.25,11,8,5,122,302,353,0,2,5,météo défavorable,Bordeaux
2021-02-09,10,7,17,7,10,9,3.6,89,9375,1002,87625,10,8,6,122,122,296,0,2,5.1,météo défavorable,Bordeaux
2021-02-10,11,7,14,7,11,8,1.2,89,9.25,1016,61.5,11,6,6,176,263,176,0,2,8.3,météo défavorable,Bordeaux
2021-02-11,11,4,10,4,8,11,0.3,90,9375,1017,59.75,11,7,2,116,116,119,0,3,10,météo très défavorable,Bordeaux
2021-02-12,12,8,24,10,12,5,2.6,93,6.75,1023,86875,12,10,5,266,296,266,0,2,5.1,météo défavorable,Bordeaux
2021-02-13,8,0,5,0,5,6,0,76,10,1027,42.75,8,0,-1,116,119,119,0,2,8.4,météo très défavorable,Bordeaux
2021-02-14,12,4,21,4,9,10,0,82,10,1029,35375,12,6,2,116,116,116,0,3,8.4,météo très défavorable,Bordeaux
2021-02-15,13,5,17,5,10,11,0,76,10,1028,20.25,13,5,2,116,116,116,0,3,10.3,météo correcte,Bordeaux
2021-02-16,15,7,23,7,13,12,0,88,10,1025,24125,15,8,4,116,116,116,0,4,10.3,météo correcte,Bordeaux
2021-02-17,16,8,11,8,13,14,0.2,93,7375,1024,56875,16,9,7,143,116,176,0,3,6.8,météo correcte,Bordeaux
2021-02-18,16,12,28,12,16,10,0.9,69,9875,1018,58.5,16,8,10,116,116,296,0,4,8.5,météo correcte,Bordeaux
2021-02-19,18,9,18,9,15,15,0.1,89,10,1017,33375,18,9,7,116,116,116,0,3,10.8,météo favorable,Bordeaux
