DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,4,2,11,2,4,4,4,97,5625,1014,85,4,3,-1,338,338,176,3.3,1,3,météo très défavorable,Lens
2021-01-02,5,1,9,1,5,4,0,90,10,1016,40625,5,3,-2,116,119,116,0,2,6.8,météo très défavorable,Lens
2021-01-03,3,1,14,1,3,3,0.2,96,5.25,1018,80625,3,2,-2,143,143,371,0.1,1,3,météo très défavorable,Lens
2021-01-04,2,-1,22,2,2,2,1.7,96,5.75,1017,100,2,2,-3,326,338,332,1.4,1,3,météo très défavorable,Lens
2021-01-05,2,2,20,2,2,2,1.4,95,7,1019,99875,2,1,-3,338,326,122,1.1,1,3.2,météo très défavorable,Lens
2021-01-06,3,1,11,1,2,2,0.5,92,7.5,1018,99.5,3,1,-2,332,332,332,0.3,1,3.2,météo très défavorable,Lens
2021-01-07,4,2,16,2,4,2,0.5,93,6375,1017,88,4,2,-1,143,332,371,0.2,1,3.2,météo très défavorable,Lens
2021-01-08,4,0,9,0,3,2,0,88,8375,1021,45.75,4,1,-3,116,116,119,0,1,8.6,météo très défavorable,Lens
2021-01-09,4,1,10,1,3,3,0.1,94,8.75,1026,49.5,4,1,-2,143,116,116,0,1,8.6,météo très défavorable,Lens
2021-01-10,4,0,5,0,4,2,0,87,10,1027,18875,4,0,-1,116,116,116,0,2,8.6,météo très défavorable,Lens
2021-01-11,6,1,17,1,5,5,0.1,93,10,1025,69.5,6,4,-3,116,119,176,0,2,3.2,météo très défavorable,Lens
2021-01-12,8,7,29,8,8,7,12,91,9.25,1016,95125,8,7,4,302,176,176,0,2,3.2,météo très défavorable,Lens
2021-01-13,5,1,8,1,4,4,4.9,95,8.75,1020,82625,5,4,-1,119,122,296,0,2,3.3,météo très défavorable,Lens
2021-01-14,4,3,24,3,3,2,35.4,94,7.25,1020,100,4,3,-2,296,302,302,0,1,3.3,météo très défavorable,Lens
2021-01-15,1,-1,15,-1,1,0,2.1,87,8.25,1030,67125,1,0,-5,332,122,116,0.5,1,6.9,météo très défavorable,Lens
2021-01-16,0,-1,20,-1,0,-2,7.2,91,8875,1030,80.5,1,1,-5,116,122,296,0.9,2,3.3,météo très défavorable,Lens
2021-01-17,5,2,17,2,4,4,0.3,92,9625,1026,64375,5,3,-2,116,116,176,0,1,5.1,météo très défavorable,Lens
2021-01-18,5,1,20,1,4,4,0.1,93,10,1027,53.5,5,3,-2,116,119,119,0,1,5.1,météo très défavorable,Lens
2021-01-19,10,7,35,7,10,9,6.4,91,8.5,1017,95.25,10,8,2,266,296,176,0,2,3.3,météo défavorable,Lens
2021-01-20,8,7,34,8,7,8,1.4,83,8,1004,97.25,8,5,3,266,266,122,0,2,3.3,météo très défavorable,Lens
2021-01-21,8,6,33,6,7,7,19.5,77,8875,993,87.25,9,5,1,302,119,122,0,3,3.3,météo très défavorable,Lens
2021-01-22,7,3,15,3,5,6,4.4,89,9.5,994,76375,7,3,-1,116,122,176,0,1,3.3,météo très défavorable,Lens
2021-01-23,5,3,21,3,5,3,0.5,89,9625,998,83.75,5,2,-1,122,119,176,0.1,1,3.3,météo très défavorable,Lens
2021-01-24,3,0,18,0,3,1,3.1,80,8375,1001,43125,3,1,-4,116,116,122,1.9,1,6.9,météo très défavorable,Lens
2021-01-25,4,1,16,1,3,3,3.2,94,8.25,1012,79875,4,1,-3,122,323,176,2,1,5.1,météo très défavorable,Lens
2021-01-26,4,1,16,1,4,3,0.7,86,9,1019,53.75,4,2,-3,116,116,353,0,2,5.2,météo très défavorable,Lens
2021-01-27,7,3,23,3,7,4,3.8,97,4,1017,98.25,7,7,-2,266,266,266,0,2,3.4,météo très défavorable,Lens
2021-01-28,12,9,35,9,11,11,15.7,96,7,1013,99,12,10,6,296,389,122,0,3,3.4,météo défavorable,Lens
2021-01-29,11,9,33,10,9,8,19.4,84,7.25,1004,85625,11,9,5,302,353,263,0,2,3.4,météo très défavorable,Lens
2021-01-30,7,2,24,7,3,1,25.1,94,6.25,1003,100,7,6,-4,266,308,296,0.6,1,3.4,météo très défavorable,Lens
2021-01-31,3,-1,19,0,1,2,0,83,10,1004,78.5,3,0,-6,122,116,122,0,1,6.9,météo très défavorable,Lens
2021-02-01,6,4,12,4,5,6,2.1,97,7.5,1004,96625,6,4,3,248,122,122,0,2,3.4,météo très défavorable,Lens
2021-02-02,13,5,29,5,12,11,8.7,94,9,1005,83125,13,9,1,122,302,176,0,2,3.5,météo très défavorable,Lens
2021-02-03,10,8,31,8,10,7,20.1,94,8.75,1007,76.75,10,9,4,116,308,296,0,2,3.5,météo très défavorable,Lens
2021-02-04,9,5,18,5,9,8,0.3,90,9375,1012,48875,9,6,2,116,116,263,0,3,5.2,météo très défavorable,Lens
2021-02-05,9,6,13,6,8,8,0,96,10,1012,78.75,9,6,3,119,122,122,0,3,3.5,météo défavorable,Lens
2021-02-06,8,7,28,7,8,7,16,95,7.75,1011,97625,8,6,3,122,353,296,0,2,3.5,météo très défavorable,Lens
2021-02-07,5,1,15,2,1,0,8.7,94,7.25,997,98.75,5,3,-3,296,338,122,0.3,1,3.5,météo très défavorable,Lens
2021-02-08,-1,-4,20,-3,-3,-4,3.2,92,4125,1002,99625,0,0,-10,338,338,326,2.7,1,3.5,météo très défavorable,Lens
