DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,6,1,24,2,4,3,0,83,10,1015,32875,6,0,-4,119,116,116,0,2,5.8,météo très défavorable,Lorient
2021-01-02,6,1,13,1,4,4,0.6,94,8.25,1018,40875,6,3,-2,116,143,116,0,2,5.8,météo très défavorable,Lorient
2021-01-03,4,2,16,2,3,3,0.2,93,10,1017,63625,4,1,-2,116,119,122,0,1,3.9,météo très défavorable,Lorient
2021-01-04,4,1,21,1,4,3,0.4,91,9375,1017,74875,4,1,-3,116,332,122,0.2,2,2.1,météo très défavorable,Lorient
2021-01-05,5,1,16,1,4,2,0.3,93,9.25,1019,72,5,1,-4,116,119,176,0,1,5.8,météo très défavorable,Lorient
2021-01-06,4,0,9,0,2,3,0,93,9625,1020,65375,4,0,-3,116,122,122,0,1,3.9,météo très défavorable,Lorient
2021-01-07,4,0,10,0,3,3,0,87,10,1020,40.25,4,0,-3,122,116,116,0,2,5.8,météo très défavorable,Lorient
2021-01-08,4,1,8,1,4,3,7.6,91,9.25,1020,74625,4,2,-1,116,119,317,0,2,2.1,météo très défavorable,Lorient
2021-01-09,5,-1,27,-1,3,3,1.9,93,9875,1025,15.5,5,0,-6,116,116,113,0,1,5.8,météo très défavorable,Lorient
2021-01-10,6,0,19,0,4,4,0,88,10,1027,14375,6,1,-6,113,116,119,0,2,8.4,météo très défavorable,Lorient
2021-01-11,8,2,13,2,7,7,0.2,88,10,1028,51,8,5,0,116,119,119,0,3,6.9,météo très défavorable,Lorient
2021-01-12,11,9,30,9,11,10,0.8,86,9,1025,93125,11,8,5,122,266,353,0,3,3.3,météo défavorable,Lorient
2021-01-13,10,9,24,9,10,10,0.3,85,10,1027,78125,10,8,7,116,176,176,0,2,3.3,météo défavorable,Lorient
2021-01-14,12,11,37,11,12,10,2.9,92,8.75,1027,86375,12,10,7,122,266,176,0,3,3.3,météo défavorable,Lorient
2021-01-15,8,5,15,5,7,6,0,89,10,1030,41.75,8,4,2,116,116,116,0,3,8.7,météo très défavorable,Lorient
2021-01-16,11,8,30,8,10,11,6.2,94,7625,1030,100,11,11,5,122,296,266,0,2,3.4,météo défavorable,Lorient
2021-01-17,8,4,8,5,7,7,0,91,10,1028,40,8,6,2,116,116,119,0,2,6.9,météo très défavorable,Lorient
2021-01-18,9,5,25,5,8,7,0.5,85,7375,1031,90.5,9,9,4,119,122,266,0,3,3.4,météo très défavorable,Lorient
2021-01-19,11,7,33,11,11,11,2.6,90,7875,1021,91.25,11,9,8,266,176,176,0,3,3.4,météo défavorable,Lorient
2021-01-20,11,10,46,10,11,11,12.2,88,8,1005,95.25,11,9,6,296,296,266,0,3,3.4,météo défavorable,Lorient
2021-01-21,10,8,51,9,8,9,19.4,87,8.5,996,85.75,12,8,5,176,353,308,0,2,3.4,météo très défavorable,Lorient
2021-01-22,8,6,24,6,7,7,3.9,88,9.75,998,69,8,4,3,353,296,116,0,2,5.2,météo très défavorable,Lorient
2021-01-23,7,4,24,4,6,5,24.3,89,9125,1002,69875,7,3,-1,302,176,122,0,3,8.2,météo très défavorable,Lorient
