DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,3,2,14,2,3,1,4.9,95,4875,1011,96375,3,2,-1,317,332,332,1.4,1,3.3,météo très défavorable,Lyon
2021-01-02,1,0,16,0,1,0,5,90,2.75,1011,100,1,0,-4,338,332,332,4.3,1,3.3,météo très défavorable,Lyon
2021-01-03,2,-1,11,-1,2,0,1.6,91,5.5,1014,90.5,2,0,-4,332,332,326,1.4,1,3.3,météo très défavorable,Lyon
2021-01-04,1,0,8,0,1,0,0.2,86,10,1014,98125,1,0,-2,122,122,122,0.1,1,3.3,météo très défavorable,Lyon
2021-01-05,2,0,7,0,2,0,1.6,91,5375,1014,97625,2,0,-2,332,332,371,1.3,1,3.3,météo très défavorable,Lyon
2021-01-06,1,-1,7,-1,1,1,0.7,88,8125,1019,87375,1,0,-3,332,326,119,0.5,1,3.3,météo très défavorable,Lyon
2021-01-07,2,0,10,0,2,1,0.5,91,8.75,1019,80375,2,0,-2,332,323,119,0.3,1,3.3,météo très défavorable,Lyon
2021-01-08,1,-1,11,-1,0,-1,0.2,86,9.5,1019,91.5,1,0,-4,122,326,122,0.2,1,3.4,météo très défavorable,Lyon
2021-01-09,1,-2,11,-2,0,-1,0,84,10,1019,63.25,1,0,-5,119,122,116,0,2,5.1,météo très défavorable,Lyon
2021-01-10,0,-2,15,-2,0,-2,0,80,10,1019,52.75,0,0,-7,119,119,116,0,1,5.1,météo très défavorable,Lyon
2021-01-11,2,-3,7,-3,0,1,0,81,10,1025,37625,2,0,-5,119,119,116,0,2,6.9,météo très défavorable,Lyon
2021-01-12,2,-1,6,-1,2,-1,8.1,95,7.25,1026,96.25,2,1,-2,122,317,296,0.3,2,3.4,météo très défavorable,Lyon
2021-01-13,5,4,5,4,5,5,29,98,7.5,1024,94.75,5,5,4,302,302,296,0,1,3.4,météo très défavorable,Lyon
2021-01-14,8,4,5,4,7,6,3.9,91,8625,1025,87.25,8,5,4,116,122,119,0,2,3.4,météo très défavorable,Lyon
2021-01-15,6,5,16,6,6,3,11.7,90,6375,1023,96.25,6,5,2,263,266,296,0,2,3.4,météo très défavorable,Lyon
2021-01-16,1,-1,12,-1,1,0,0.4,83,8625,1028,80.75,1,0,-5,116,119,122,0.3,1,3.4,météo très défavorable,Lyon
2021-01-17,5,1,8,1,4,3,4.3,94,8.25,1028,80875,5,3,1,143,119,353,2,1,3.4,météo très défavorable,Lyon
2021-01-18,4,0,6,0,3,1,0.1,95,8,1030,60.25,4,1,-2,143,119,116,0,1,6.9,météo très défavorable,Lyon
2021-01-19,6,0,11,0,4,4,0,87,10,1028,10125,6,0,-2,116,116,116,0,2,8.7,météo très défavorable,Lyon
2021-01-20,11,6,42,6,10,10,0.1,81,10,1019,35875,11,4,2,113,122,116,0,3,6.9,météo défavorable,Lyon
2021-01-21,11,9,30,9,10,11,1,78,9375,1008,77125,11,7,5,176,176,176,0,3,3.4,météo défavorable,Lyon
2021-01-22,10,8,19,8,10,8,12.7,86,8.25,1004,85.5,10,6,4,116,122,302,0,2,3.5,météo défavorable,Lyon
2021-01-23,5,3,22,3,5,3,4.7,86,9625,1004,77875,5,2,0,119,116,296,0,1,5.2,météo très défavorable,Lyon
2021-01-24,5,1,10,1,5,3,0.3,80,9375,1007,63125,5,0,-2,116,116,122,0,2,7,météo très défavorable,Lyon
2021-01-25,4,1,12,1,4,2,4.4,81,7375,1018,80,4,0,-1,335,122,371,1.4,1,3.5,météo très défavorable,Lyon
2021-01-26,4,-1,9,-1,3,2,0.4,86,8.75,1025,48.25,4,0,-4,119,116,116,0.3,1,8.7,météo très défavorable,Lyon
2021-01-27,4,0,6,0,4,3,0.1,75,10,1024,75375,4,0,-1,116,116,122,0,2,3.5,météo très défavorable,Lyon
2021-01-28,10,5,11,5,9,9,7.6,97,8,1020,98125,10,8,4,296,122,176,0,2,3.5,météo très défavorable,Lyon
2021-01-29,13,10,16,10,13,10,10.5,90,8.75,1014,81.25,13,8,7,296,176,353,0,3,3.5,météo défavorable,Lyon
2021-01-30,9,7,11,7,7,8,13.5,89,9,1014,89.75,9,7,5,116,302,296,0,2,3.5,météo défavorable,Lyon
2021-01-31,11,5,6,5,9,9,0.8,88,8.25,1002,71875,11,5,5,122,116,119,0,2,7,météo très défavorable,Lyon
2021-02-01,9,8,12,8,9,7,21.2,90,7.25,1006,99,9,7,5,302,266,296,0,2,3.5,météo très défavorable,Lyon
2021-02-02,11,8,9,8,11,10,2.4,91,6.75,1013,77.75,11,7,8,176,266,263,0,2,5.3,météo défavorable,Lyon
2021-02-03,14,11,32,11,13,12,0.5,82,9,1015,55875,14,8,8,116,119,116,0,3,7,météo correcte,Lyon
2021-02-04,13,8,3,8,11,11,0,83,10,1016,57875,13,7,8,116,116,122,0,4,5.4,météo correcte,Lyon
2021-02-05,15,8,10,8,12,12,0,90,10,1015,47.5,15,8,8,116,119,116,0,4,5.4,météo correcte,Lyon
2021-02-06,15,10,30,10,14,12,0.6,72,9.75,1010,71875,15,7,8,122,116,176,0,4,7,météo défavorable,Lyon
2021-02-07,9,7,12,8,8,7,30.5,83,8,1003,81.5,9,6,6,302,302,176,0,2,3.8,météo très défavorable,Lyon
2021-02-08,9,3,15,3,8,7,0.7,78,8375,1002,65,9,3,2,116,122,122,0,2,3.8,météo très défavorable,Lyon
2021-02-09,10,7,7,7,9,9,4,88,6.5,1002,98,10,6,6,266,296,353,0,2,3.8,météo défavorable,Lyon
2021-02-10,9,6,15,6,9,3,15.5,88,8.5,1014,93,9,4,4,302,119,353,0.3,2,5.3,météo défavorable,Lyon
2021-02-11,3,-3,12,-3,1,1,0.1,74,10,1022,39.75,3,0,-8,326,116,116,0.1,1,10.5,météo très défavorable,Lyon
2021-02-12,1,-1,6,-1,0,0,18.2,99,6625,1021,95375,1,1,-2,122,338,302,3.6,2,5.3,météo très défavorable,Lyon
2021-02-13,-2,-5,9,-5,-4,-4,2.7,94,8.25,1031,77.25,0,0,-9,326,116,119,2.3,1,6.9,météo très défavorable,Lyon
2021-02-14,2,-4,17,-4,0,1,0,87,10,1036,32.75,2,0,-6,116,116,116,0,2,10,météo très défavorable,Lyon
2021-02-15,7,1,23,1,6,4,0,62,10,1037,30.25,7,1,-4,116,116,116,0,2,10.6,météo très défavorable,Lyon
2021-02-16,11,3,23,3,9,9,0,90,10,1032,37875,11,6,-1,116,116,116,0,3,10.7,météo très défavorable,Lyon
2021-02-17,14,6,3,6,12,11,0,93,10,1025,22.25,14,5,6,116,116,116,0,4,10.7,météo correcte,Lyon
2021-02-18,14,6,29,6,13,11,0,79,10,1021,31.75,14,6,4,116,116,116,0,4,10,météo correcte,Lyon
2021-02-19,15,7,23,7,13,12,0,89,10,1020,15125,15,6,6,116,116,116,0,4,10.8,météo correcte,Lyon
2021-02-20,15,9,29,9,14,12,0,83,10,1021,0.5,15,6,7,113,113,113,0,4,10.8,météo correcte,Lyon
2021-02-21,16,8,25,8,14,15,0,73,10,1020,7125,16,3,5,113,113,113,0,4,10.8,météo correcte,Lyon
2021-02-22,14,8,8,8,13,11,0.7,57,8625,1026,46.5,14,7,6,116,116,116,0,4,10.1,météo correcte,Lyon
2021-02-23,16,9,11,9,14,13,1,89,9.75,1034,56,16,9,9,122,116,116,0,3,10.9,météo correcte,Lyon
2021-02-24,18,9,19,9,16,17,0,93,10,1036,9125,18,9,8,116,116,113,0,4,10.9,météo favorable,Lyon
2021-02-25,18,10,15,10,16,17,0,76,10,1032,0,19,6,9,113,113,113,0,4,11,météo favorable,Lyon
