DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,11,10,8,10,10,9,13.3,79,8875,1007,94125,11,6,9,353,353,389,0,3,3.4,météo défavorable,Marseille
2021-01-02,8,6,23,6,7,7,23.4,83,6875,1005,94125,8,5,2,302,296,266,0,2,3.4,météo très défavorable,Marseille
2021-01-03,9,5,31,5,9,9,0.8,76,9,1010,67.75,9,3,1,119,266,176,0,3,3.4,météo très défavorable,Marseille
2021-01-04,7,5,13,5,5,3,1.6,81,6,1010,88625,7,3,2,122,266,266,0,2,3.4,météo très défavorable,Marseille
2021-01-05,7,4,15,4,6,6,0,87,10,1011,43625,7,3,3,116,116,116,0,3,5.2,météo très défavorable,Marseille
2021-01-06,6,3,25,3,5,5,0,75,10,1016,19.75,6,1,-2,119,113,113,0,2,8.7,météo très défavorable,Marseille
2021-01-07,7,2,13,2,5,5,0,72,10,1016,72375,7,1,-1,122,116,122,0,2,6.9,météo très défavorable,Marseille
2021-01-08,8,5,12,5,6,8,0,62,10,1015,61.25,8,0,2,116,116,122,0,2,6.9,météo très défavorable,Marseille
2021-01-09,9,6,14,6,7,8,0,51,10,1014,76375,9,0,3,122,116,122,0,2,5.2,météo défavorable,Marseille
2021-01-10,7,6,16,6,6,5,0,56,10,1015,58625,7,0,3,116,119,116,0,3,5.2,météo très défavorable,Marseille
2021-01-11,9,6,10,6,8,7,0,82,10,1021,30125,9,3,5,119,116,116,0,2,8.7,météo défavorable,Marseille
2021-01-12,10,3,53,3,7,10,0,64,10,1021,12.5,10,4,-2,116,116,116,0,3,8.7,météo très défavorable,Marseille
2021-01-13,13,10,45,10,12,13,0,74,10,1019,24.5,13,7,6,116,116,116,0,4,8.7,météo correcte,Marseille
2021-01-14,13,10,59,10,12,12,0,68,10,1020,2.25,13,6,5,113,113,113,0,4,8.7,météo correcte,Marseille
2021-01-15,11,10,41,10,11,10,0,68,10,1018,18.25,11,5,5,116,116,116,0,4,8.7,météo défavorable,Marseille
2021-01-16,7,5,22,5,6,7,0,69,10,1023,17625,7,1,1,116,116,116,0,3,8.7,météo très défavorable,Marseille
2021-01-17,10,8,52,8,10,9,0,74,10,1022,22.25,10,4,3,119,113,116,0,2,8.7,météo défavorable,Marseille
2021-01-18,9,5,29,5,7,9,0,68,10,1026,5.25,9,0,0,116,113,116,0,3,8.7,météo très défavorable,Marseille
2021-01-19,11,7,12,7,10,9,0.3,60,10,1026,33625,11,7,6,116,116,119,0,3,8.7,météo défavorable,Marseille
2021-01-20,13,12,39,12,13,13,5.6,84,10,1021,81,13,10,9,353,353,353,0,3,3.5,météo défavorable,Marseille
2021-01-21,13,12,32,12,13,13,2.5,83,9875,1011,82875,13,10,9,296,176,353,0,3,3.5,météo défavorable,Marseille
2021-01-22,13,12,31,12,13,11,12.3,84,8.5,1007,67.5,13,11,10,116,122,356,0,3,3.5,météo défavorable,Marseille
2021-01-23,10,8,48,8,9,9,2.1,67,9.75,1003,45.25,10,3,4,116,116,176,0,3,5.2,météo défavorable,Marseille
