DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,10,8,22,8,8,7,35.7,86,7375,1009,97375,10,6,5,389,296,302,0,3,3.4,météo très défavorable,Monaco
2021-01-02,10,8,30,8,10,10,24.9,68,6875,1005,94875,10,4,5,302,176,293,0,2,3.4,météo très défavorable,Monaco
2021-01-03,10,9,10,9,10,9,15.7,70,8.75,1009,75125,10,5,8,302,176,176,0,2,6.9,météo défavorable,Monaco
2021-01-04,10,8,13,8,9,9,1.3,58,10,1009,72625,10,3,5,176,119,122,0,2,5.2,météo défavorable,Monaco
2021-01-05,8,6,9,6,8,8,13.4,74,8125,1009,81125,8,3,5,266,176,176,0,2,3.4,météo très défavorable,Monaco
2021-01-06,9,6,8,6,8,9,0.1,62,10,1014,33,9,2,4,122,116,116,0,2,8.7,météo défavorable,Monaco
2021-01-07,8,6,12,6,8,8,0,60,10,1014,59875,8,1,3,116,116,122,0,3,6.9,météo très défavorable,Monaco
2021-01-08,8,5,14,5,8,7,0,55,10,1015,53875,8,0,2,116,116,119,0,3,8.7,météo très défavorable,Monaco
2021-01-09,7,5,18,5,7,6,0.1,44,10,1015,82.75,7,0,2,122,119,176,0,3,3.4,météo très défavorable,Monaco
2021-01-10,8,5,14,5,7,6,0.1,44,10,1014,44.5,8,0,2,116,119,116,0,3,6.9,météo très défavorable,Monaco
2021-01-11,10,6,12,6,9,9,0,47,10,1019,15.25,10,1,3,116,113,113,0,3,8.7,météo défavorable,Monaco
2021-01-12,9,6,9,6,8,8,0,63,10,1019,33,9,2,4,116,122,116,0,2,6.9,météo défavorable,Monaco
2021-01-13,11,9,5,9,11,10,0,66,10,1015,0.25,13,7,9,113,113,113,0,4,8.7,météo défavorable,Monaco
