DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,5,0,13,1,3,2,0,91,10,1014,25625,5,0,-3,116,119,116,0,2,6.9,météo très défavorable,Nantes
2021-01-02,5,0,9,0,4,3,0,92,10,1017,23125,5,1,-3,116,116,116,0,2,8.7,météo très défavorable,Nantes
2021-01-03,3,0,11,0,3,3,0.2,95,7625,1016,82.5,3,2,-2,119,143,326,0.1,2,5.1,météo très défavorable,Nantes
2021-01-04,2,0,15,0,2,2,0.8,97,4.75,1016,90.25,2,1,-4,143,338,338,0.3,2,3.3,météo très défavorable,Nantes
2021-01-05,3,1,13,1,2,2,0.8,98,5875,1018,96375,3,1,-2,332,326,371,0.6,1,3.3,météo très défavorable,Nantes
2021-01-06,3,-2,7,-2,2,2,0,96,7,1020,77,3,0,-4,143,116,122,0,1,5.1,météo très défavorable,Nantes
2021-01-07,4,-1,7,-1,3,2,0,95,8,1019,43625,4,0,-3,143,116,116,0,2,8.7,météo très défavorable,Nantes
2021-01-08,5,-1,7,-1,3,3,0.1,90,10,1020,53.25,5,1,-1,116,116,176,0,2,5.1,météo très défavorable,Nantes
2021-01-09,4,-2,29,-2,2,2,0,93,10,1023,13125,4,0,-7,116,116,116,0,2,8.7,météo très défavorable,Nantes
2021-01-10,5,-1,24,-1,3,2,0,86,10,1025,4.5,5,0,-7,116,116,116,0,2,8.7,météo très défavorable,Nantes
2021-01-11,6,-1,8,-1,4,5,0,92,10,1027,23.25,6,4,-4,116,116,116,0,2,8.7,météo très défavorable,Nantes
2021-01-12,11,7,27,7,10,10,0.3,88,10,1025,95875,11,8,3,176,122,122,0,2,3.3,météo défavorable,Nantes
2021-01-13,10,8,19,8,10,9,0.3,94,10,1027,78.5,10,8,5,119,176,176,0,3,3.3,météo défavorable,Nantes
2021-01-14,12,9,26,9,12,10,0.7,90,9,1027,90.5,12,10,6,122,266,176,0,3,3.3,météo défavorable,Nantes
2021-01-15,7,5,18,5,6,5,0,90,10,1030,47.75,7,4,2,119,122,119,0,3,6.9,météo très défavorable,Nantes
2021-01-16,7,2,27,2,4,6,2.5,92,7375,1030,97875,7,9,-1,122,266,176,0,1,3.4,météo très défavorable,Nantes
2021-01-17,8,4,7,4,7,7,0,94,8,1028,44.5,8,6,2,143,116,122,0,2,6.9,météo très défavorable,Nantes
2021-01-18,7,3,15,3,6,5,0,92,10,1031,64125,7,4,0,116,116,119,0,1,5.2,météo très défavorable,Nantes
2021-01-19,11,6,28,6,10,10,0,94,10,1023,69.25,11,8,3,119,122,119,0,3,3.4,météo défavorable,Nantes
2021-01-20,11,9,41,9,10,11,5.4,82,7625,1008,92,11,9,6,296,119,266,0,3,3.4,météo défavorable,Nantes
2021-01-21,10,7,45,7,9,10,21.7,89,8,998,90125,10,9,3,176,176,308,0,2,3.4,météo très défavorable,Nantes
2021-01-22,6,5,31,6,5,6,22.9,96,8.75,999,73,6,6,0,116,302,296,0,2,3.4,météo très défavorable,Nantes
2021-01-23,7,4,28,5,6,5,10,92,9375,1002,60125,7,4,0,122,317,116,0,2,5.2,météo très défavorable,Nantes
2021-01-24,7,2,27,2,6,5,5.7,93,9625,1004,83,7,5,-1,116,176,296,0,2,3.4,météo très défavorable,Nantes
2021-01-25,7,2,17,2,5,4,0,85,10,1018,11875,7,1,-2,116,116,116,0,2,8.7,météo très défavorable,Nantes
2021-01-26,6,0,18,0,4,4,0.2,82,9,1022,45,6,1,-3,116,122,116,0,2,5.2,météo très défavorable,Nantes
2021-01-27,12,9,17,9,12,8,4.2,99,4875,1019,100,12,11,7,248,122,302,0,3,4.8,météo défavorable,Nantes
2021-01-28,13,12,31,12,12,12,4.2,95,8.5,1017,100,13,12,9,176,302,266,0,3,4.8,météo défavorable,Nantes
