DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,9,7,22,7,8,6,32.1,87,7875,1009,96.25,9,6,4,353,296,302,0,3,3.4,météo très défavorable,Nice
2021-01-02,9,7,31,7,9,9,30.7,73,7375,1005,94625,9,4,3,302,176,293,0,2,3.4,météo très défavorable,Nice
2021-01-03,9,8,12,8,9,8,15.5,72,8375,1009,86.75,9,4,6,302,176,176,0,2,3.4,météo défavorable,Nice
2021-01-04,9,6,14,6,8,8,2,58,10,1009,76.5,9,3,3,176,116,176,0,2,5.2,météo défavorable,Nice
2021-01-05,8,5,10,5,7,7,13,77,8,1009,78375,8,2,3,266,176,176,0,2,3.4,météo très défavorable,Nice
2021-01-06,8,4,9,4,7,8,0.1,59,10,1015,30.75,8,1,2,119,116,113,0,2,8.7,météo très défavorable,Nice
2021-01-07,8,4,12,4,7,7,0.3,61,10,1014,64375,8,1,2,116,116,176,0,3,5.2,météo très défavorable,Nice
2021-01-08,8,4,14,4,7,7,0,55,10,1015,46.25,8,0,1,116,116,119,0,3,6.9,météo très défavorable,Nice
2021-01-09,8,6,21,6,8,7,0.5,46,8,1015,80.5,8,0,2,122,116,266,0,3,3.4,météo très défavorable,Nice
2021-01-10,9,6,15,6,8,7,0,46,10,1014,46875,9,0,3,116,122,116,0,3,5.2,météo défavorable,Nice
2021-01-11,10,5,12,5,9,9,0,50,10,1019,14.5,10,1,2,116,113,113,0,3,8.7,météo très défavorable,Nice
2021-01-12,8,4,10,4,7,6,0,63,10,1019,35.25,8,3,2,116,119,116,0,2,6.9,météo très défavorable,Nice
2021-01-13,11,8,5,8,10,9,0,64,10,1015,0.25,11,6,7,113,113,113,0,3,8.7,météo défavorable,Nice
2021-01-14,13,9,6,9,11,11,0.1,64,10,1017,9875,13,6,8,113,113,113,0,4,8.7,météo correcte,Nice
2021-01-15,9,8,12,8,9,9,4.2,77,7,1016,85625,9,5,6,296,266,176,0,3,3.4,météo défavorable,Nice
2021-01-16,8,7,7,7,8,6,0.9,70,8375,1021,85875,9,3,6,266,119,122,0,2,3.5,météo très défavorable,Nice
