DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,3,1,8,1,3,2,1.5,97,3125,1014,96.5,3,2,-2,143,332,371,1.2,1,3.1,météo très défavorable,Reims
2021-01-02,3,-1,8,-1,2,1,0,93,10,1015,32625,3,0,-3,116,116,116,0,1,8.2,météo très défavorable,Reims
2021-01-03,3,-1,11,-1,2,2,0,92,10,1016,55375,3,0,-2,116,116,122,0,2,6.8,météo très défavorable,Reims
2021-01-04,3,1,15,1,3,2,0.4,97,7.75,1014,100,3,2,-3,332,332,332,0,1,3.1,météo très défavorable,Reims
2021-01-05,3,1,16,1,3,2,0.5,97,9.25,1017,98375,3,1,-2,371,122,368,0.4,1,3.2,météo très défavorable,Reims
2021-01-06,2,0,11,0,2,1,0.3,95,5.25,1018,96,2,0,-3,332,122,368,0,1,3.2,météo très défavorable,Reims
2021-01-07,2,0,10,0,1,1,0.2,96,4.5,1017,98875,2,1,-3,143,122,371,0.1,1,3.2,météo très défavorable,Reims
2021-01-08,2,-2,8,-2,1,1,0.2,95,7375,1020,76.5,2,0,-5,143,122,368,0.1,1,3.3,météo très défavorable,Reims
2021-01-09,2,-1,18,-1,2,0,0,94,9,1025,33,2,0,-5,143,116,116,0,1,8.7,météo très défavorable,Reims
2021-01-10,2,-2,12,-2,2,0,0,94,9,1026,20,2,0,-5,119,116,116,0,2,8.7,météo très défavorable,Reims
2021-01-11,4,-1,11,-1,3,2,0,88,10,1025,51125,4,1,-1,116,116,122,0,2,6.9,météo très défavorable,Reims
2021-01-12,7,5,31,5,7,6,10.5,97,7.25,1018,99375,7,6,0,296,302,296,0,2,3.3,météo très défavorable,Reims
2021-01-13,4,1,6,1,4,4,6.1,97,9375,1020,77.25,4,4,0,119,119,302,0,2,3.3,météo très défavorable,Reims
2021-01-14,3,2,20,3,2,1,24.6,96,7125,1020,99875,3,4,-2,296,302,296,0,1,3.3,météo très défavorable,Reims
2021-01-15,2,0,17,0,1,-1,1.1,90,8875,1029,71125,2,0,-5,317,122,116,0,1,5.1,météo très défavorable,Reims
2021-01-16,1,-2,13,-2,0,0,2.7,87,9625,1030,66,1,0,-4,116,116,122,0,1,5.1,météo très défavorable,Reims
2021-01-17,4,2,15,2,3,2,0.3,98,7375,1026,80.75,4,3,-2,122,143,119,0,1,5.1,météo très défavorable,Reims
2021-01-18,4,0,15,0,3,3,0,96,7,1028,72,4,2,-3,143,143,116,0,1,8.7,météo très défavorable,Reims
2021-01-19,6,3,31,3,5,5,2.6,90,7875,1022,85.5,6,4,-3,266,296,122,0,1,3.3,météo très défavorable,Reims
2021-01-20,8,4,24,4,7,8,0,75,10,1009,68.75,8,4,0,119,122,116,0,3,5.1,météo très défavorable,Reims
2021-01-21,9,6,31,7,7,7,4.6,80,8.75,998,91625,9,6,1,266,176,176,0,2,3.4,météo défavorable,Reims
2021-01-22,6,4,14,4,6,4,13.8,89,8.25,995,92.5,6,6,1,299,122,296,0,1,3.4,météo très défavorable,Reims
2021-01-23,4,2,15,2,3,3,0.1,94,9.75,998,80375,4,2,-2,119,122,119,0,2,3.4,météo très défavorable,Reims
2021-01-24,3,-1,15,-1,3,2,3.2,92,8375,1003,47.25,3,1,-5,368,113,122,0,1,6.9,météo très défavorable,Reims
2021-01-25,3,1,19,1,1,1,1.1,95,8375,1014,72875,3,1,-3,395,368,116,0.9,1,5.2,météo très défavorable,Reims
2021-01-26,4,-1,19,-1,3,1,0.6,93,8,1021,64125,4,0,-5,143,368,329,0.3,2,3.4,météo très défavorable,Reims
2021-01-27,4,2,16,2,3,3,9.3,97,9,1020,98875,5,5,-3,317,296,296,0.1,1,3.4,météo très défavorable,Reims
2021-01-28,13,9,33,9,12,12,13.9,97,7125,1015,91.25,13,10,6,296,302,176,0,3,3.4,météo défavorable,Reims
2021-01-29,10,9,33,10,10,8,11.5,90,9125,1005,94875,10,9,5,302,122,296,0,2,3.4,météo défavorable,Reims
2021-01-30,10,7,20,7,10,8,16.1,97,7.75,1005,100,10,8,4,176,302,353,0,2,3.5,météo très défavorable,Reims
2021-01-31,6,3,14,4,3,4,4.5,91,8,1002,100,6,5,0,266,122,122,0,1,3.5,météo très défavorable,Reims
2021-02-01,8,7,11,7,8,7,5.3,97,6.25,1004,99.25,8,7,6,143,266,122,0,2,3.5,météo très défavorable,Reims
2021-02-02,13,6,26,6,12,12,4.9,93,8.25,1006,90.25,13,10,3,122,296,353,0,3,3.5,météo défavorable,Reims
2021-02-03,11,9,42,10,11,7,13.6,95,8.25,1010,91.25,11,9,4,353,299,266,0,2,3.5,météo défavorable,Reims
2021-02-04,8,4,10,4,8,7,2.9,93,8,1014,63875,8,7,2,116,116,296,0,3,5.2,météo très défavorable,Reims
2021-02-05,11,7,10,7,10,9,0.7,97,7,1013,87875,11,7,5,353,122,353,0,2,3.5,météo défavorable,Reims
2021-02-06,10,7,26,7,9,10,7.2,92,7.75,1011,93375,10,9,4,296,122,263,0,2,3.5,météo défavorable,Reims
2021-02-07,7,4,26,6,5,4,3.8,92,6.5,998,99.25,7,8,0,266,122,317,0,2,3.5,météo très défavorable,Reims
2021-02-08,1,-1,14,-1,1,0,4.9,91,4,999,84875,1,0,-5,338,335,371,4.2,1,3.6,météo très défavorable,Reims
2021-02-09,-1,-6,10,-6,-3,-1,0.1,90,10,1005,80.25,0,0,-10,119,119,122,0,1,3.6,météo très défavorable,Reims
2021-02-10,-2,-4,25,-4,-3,-4,0,75,10,1020,47.5,0,0,-11,122,116,116,0,1,8.7,météo très défavorable,Reims
2021-02-11,0,-6,22,-6,-1,-2,0,76,10,1028,6875,0,0,-10,116,116,116,0,2,8.7,météo très défavorable,Reims
2021-02-12,-1,-3,30,-3,-1,-2,0,53,10,1028,30.5,0,0,-10,116,119,116,0,2,7.1,météo très défavorable,Reims
2021-02-13,0,-5,28,-5,-1,-2,0,45,10,1036,7.75,0,0,-12,113,113,116,0,2,10.5,météo très défavorable,Reims
2021-02-14,3,-4,26,-4,2,0,0,54,10,1036,46625,3,0,-10,116,116,116,0,2,6.8,météo très défavorable,Reims
2021-02-15,6,0,18,0,4,5,0.2,84,10,1031,58875,6,2,-5,116,122,116,0,1,6.8,météo très défavorable,Reims
2021-02-16,9,1,23,1,7,8,0.4,92,9375,1026,81.5,9,6,-2,122,119,122,0,2,5.3,météo très défavorable,Reims
2021-02-17,9,6,21,6,9,8,2.7,96,9.75,1021,86875,9,6,2,119,176,122,0,2,5.3,météo défavorable,Reims
2021-02-18,11,5,24,5,9,10,5.7,92,9375,1017,74375,11,8,2,116,296,119,0,3,5.3,météo très défavorable,Reims
2021-02-19,11,3,15,3,9,10,0.4,92,10,1017,45125,11,8,1,116,116,119,0,2,10,météo très défavorable,Reims
2021-02-20,15,7,23,7,12,12,0,92,10,1015,17.5,15,9,4,116,116,116,0,3,10.7,météo correcte,Reims
2021-02-21,15,6,21,6,12,12,0,82,10,1015,7,15,7,3,116,113,113,0,4,10.7,météo correcte,Reims
2021-02-22,14,6,12,6,12,12,0,80,10,1023,30625,14,7,4,116,116,116,0,4,10.8,météo correcte,Reims
2021-02-23,14,7,19,7,13,12,0,88,10,1032,14625,14,9,5,116,116,116,0,4,10.8,météo correcte,Reims
2021-02-24,16,9,17,9,14,13,0,92,10,1032,2125,16,10,7,116,116,113,0,4,10.8,météo correcte,Reims
2021-02-25,15,8,11,8,14,12,0,88,10,1029,11375,15,8,7,116,116,116,0,4,10.9,météo correcte,Reims
2021-02-26,9,7,16,9,9,9,1.9,96,5.75,1034,79,9,8,6,248,296,266,0,3,7,météo défavorable,Reims
2021-02-27,10,2,18,2,8,8,0,88,10,1038,3875,10,3,-1,116,116,116,0,3,10.9,météo très défavorable,Reims
2021-02-28,11,3,20,3,9,9,0,92,10,1037,2375,11,4,-1,116,116,113,0,3,11,météo très défavorable,Reims
2021-03-01,10,1,17,1,8,8,0,83,10,1032,2.5,10,4,-2,113,113,113,0,3,11,météo très défavorable,Reims
2021-03-02,14,3,10,3,11,11,0,91,10,1029,14125,14,7,0,113,116,116,0,3,10.1,météo correcte,Reims
2021-03-03,15,6,8,6,13,12,0,88,10,1030,36625,15,8,5,122,116,116,0,4,11.1,météo correcte,Reims
2021-03-04,11,7,17,7,11,8,4.1,95,8.75,1025,78875,11,8,6,293,353,176,0,2,5.6,météo défavorable,Reims
2021-03-05,6,2,23,2,4,3,0,82,10,1030,43.75,6,3,-3,119,116,113,0,2,10.1,météo très défavorable,Reims
2021-03-06,7,-1,19,-1,6,5,0,74,10,1032,0,7,0,-5,113,113,113,0,2,11.2,météo très défavorable,Reims
2021-03-07,8,-1,10,-1,6,7,0,66,10,1029,0,9,0,-4,113,113,113,0,2,11.2,météo très défavorable,Reims
2021-03-08,8,-2,10,-2,6,5,0,85,10,1024,26.5,8,0,-4,116,116,116,0,2,10.1,météo très défavorable,Reims
2021-03-09,8,1,9,1,6,6,0,86,10,1022,67.25,8,3,0,122,116,119,0,1,8.6,météo très défavorable,Reims
2021-03-10,9,1,21,1,8,8,0.6,92,9875,1022,71.25,9,4,-1,116,122,122,0,2,5.7,météo très défavorable,Reims
2021-03-11,11,9,35,9,11,9,5.5,89,8.5,1012,78625,11,9,6,119,302,353,0,3,7.2,météo défavorable,Reims
2021-03-12,10,3,31,3,9,8,2.5,85,9875,1014,60375,10,4,-1,116,116,353,0,2,7.2,météo très défavorable,Reims
2021-03-13,9,7,36,7,8,7,7.5,84,9.75,1008,82625,9,5,2,176,299,353,0,2,5.7,météo défavorable,Reims
2021-03-14,9,3,26,3,7,7,2,90,9875,1018,85625,9,3,-2,176,176,176,0,2,5.9,météo très défavorable,Reims
2021-03-15,9,7,29,7,8,6,5.7,90,8.5,1021,82125,9,5,3,302,353,176,0,2,6,météo défavorable,Reims
2021-03-16,9,1,16,1,8,7,0.4,95,9,1029,55.5,9,3,-2,116,122,353,0,3,7.4,météo très défavorable,Reims
2021-03-17,8,5,25,5,7,5,0.9,90,9625,1029,83.5,8,5,1,353,176,353,0,2,6,météo très défavorable,Reims
2021-03-18,6,0,14,0,4,5,0.9,91,8375,1029,74375,6,4,-2,116,116,176,0,1,6,météo très défavorable,Reims
2021-03-19,7,2,28,2,6,5,1.2,94,8.75,1027,48.25,7,3,-2,143,116,116,0,1,11.6,météo très défavorable,Reims
2021-03-20,8,-1,15,-1,6,6,0,90,10,1029,16.5,8,0,-4,116,116,116,0,2,11.6,météo très défavorable,Reims
2021-03-21,9,3,15,3,7,7,1.2,94,8,1028,69.5,9,6,1,122,266,353,0,3,7.5,météo très défavorable,Reims
2021-03-22,7,0,14,0,6,6,0.1,94,9,1026,52875,7,2,-3,116,119,122,0,2,7.6,météo très défavorable,Reims
2021-03-23,10,2,4,2,9,8,0,88,10,1026,59.5,10,4,2,119,116,116,0,2,7.6,météo très défavorable,Reims
2021-03-24,14,3,11,3,11,11,0,90,10,1025,13.75,14,6,2,116,116,116,0,3,11.6,météo correcte,Reims
2021-03-25,12,7,9,7,12,10,0.7,89,10,1020,61.25,12,7,6,122,116,353,0,2,7.7,météo défavorable,Reims
2021-03-26,11,6,32,6,11,9,1.3,94,9.75,1020,60625,11,6,3,119,119,119,0,3,10.3,météo défavorable,Reims
