DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,1,-1,8,1,1,0,10.2,99,3125,1010,99625,1,1,-2,338,338,338,6.9,1,3.3,météo très défavorable,Saint-Étienne
2021-01-02,0,-3,10,-3,-1,-1,10.2,96,2,1011,100,0,0,-6,338,338,338,8.7,1,3.3,météo très défavorable,Saint-Étienne
2021-01-03,0,-2,8,-2,-1,-2,4.7,97,3375,1014,98875,0,0,-6,338,338,368,3.9,1,3.3,météo très défavorable,Saint-Étienne
2021-01-04,-1,-3,4,-3,-1,-2,0.4,96,6625,1014,94.75,0,0,-4,143,326,326,0.3,1,3.3,météo très défavorable,Saint-Étienne
2021-01-05,0,-2,6,-2,-1,-2,2.7,98,3125,1014,98375,0,0,-4,338,332,332,2.3,1,3.3,météo très défavorable,Saint-Étienne
2021-01-06,-1,-5,7,-5,-1,-2,0.2,96,9,1019,92,0,0,-7,326,119,122,0.1,1,3.3,météo très défavorable,Saint-Étienne
2021-01-07,0,-3,6,-3,0,-1,0.6,96,7125,1019,98125,0,0,-4,332,332,368,0.4,1,3.4,météo très défavorable,Saint-Étienne
2021-01-08,-1,-3,7,-3,-1,-3,0.7,93,6.75,1019,96,0,0,-4,332,332,326,0.4,1,3.4,météo très défavorable,Saint-Étienne
2021-01-09,-1,-5,8,-5,-1,-2,0.7,93,9375,1019,92.5,0,0,-7,326,326,122,0.4,1,3.4,météo très défavorable,Saint-Étienne
2021-01-10,-2,-4,11,-4,-2,-4,1.1,86,7125,1019,86375,0,0,-7,332,332,326,0.9,1,3.4,météo très défavorable,Saint-Étienne
2021-01-11,0,-7,7,-7,-2,-2,0.4,92,9375,1025,52.75,1,0,-10,326,326,116,0.3,2,5.2,météo très défavorable,Saint-Étienne
2021-01-12,3,-2,7,-2,3,2,1.4,93,6125,1026,90.75,3,2,-5,332,122,266,0,2,3.4,météo très défavorable,Saint-Étienne
2021-01-13,5,2,9,2,5,4,17.8,98,7375,1025,89.5,5,5,0,296,296,296,0,1,3.4,météo très défavorable,Saint-Étienne
2021-01-14,7,2,10,2,6,5,1.5,94,6625,1025,72,7,5,-1,143,116,122,0,1,5.2,météo très défavorable,Saint-Étienne
2021-01-15,4,1,18,4,4,2,2.7,97,3,1023,97125,4,4,0,266,143,317,0.4,1,3.4,météo très défavorable,Saint-Étienne
2021-01-16,0,-3,9,-3,-1,-1,2.2,92,7375,1028,77625,0,0,-7,332,119,116,1.8,1,5.2,météo très défavorable,Saint-Étienne
2021-01-17,4,1,12,1,4,1,1.2,96,6,1028,83.5,4,2,0,266,362,176,0.5,1,3.4,météo très défavorable,Saint-Étienne
2021-01-18,3,-2,6,-2,2,1,1,97,7.75,1030,73625,4,0,-4,260,326,119,0.8,1,3.4,météo très défavorable,Saint-Étienne
2021-01-19,8,-2,6,-2,7,6,0,74,10,1028,6375,9,3,-3,116,116,113,0,2,8.7,météo très défavorable,Saint-Étienne
2021-01-20,8,2,44,2,8,6,0.8,93,8875,1019,38375,8,5,-1,143,116,116,0,3,6.9,météo très défavorable,Saint-Étienne
2021-01-21,8,6,14,6,7,8,4.3,90,7.75,1008,80125,8,6,3,296,263,266,0,2,5.2,météo très défavorable,Saint-Étienne
2021-01-22,9,5,21,5,9,6,9,89,9125,1004,84.5,9,5,3,122,122,302,0,2,3.5,météo très défavorable,Saint-Étienne
2021-01-23,4,0,13,0,4,2,4.6,90,7875,1004,81.5,4,2,-3,116,122,296,0.7,1,3.5,météo très défavorable,Saint-Étienne
2021-01-24,4,-1,6,-1,3,1,0.8,94,8625,1007,77375,4,0,-3,338,116,122,0.3,1,7,météo très défavorable,Saint-Étienne
2021-01-25,2,-1,14,-1,2,0,1.4,90,7625,1018,67,2,2,-5,335,116,371,0.3,1,5.2,météo très défavorable,Saint-Étienne
2021-01-26,2,-5,7,-5,1,0,1,97,7375,1024,58625,2,0,-8,335,119,116,0.9,1,7,météo très défavorable,Saint-Étienne
