DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,4,0,9,0,3,2,0,92,10,1014,23,4,0,-2,116,116,116,0,2,8.7,météo très défavorable,Angers
2021-01-02,4,-1,9,-1,3,2,0,92,8375,1017,24.25,4,0,-4,116,116,116,0,2,8.7,météo très défavorable,Angers
2021-01-03,3,2,7,2,2,2,1,97,6.25,1016,98.75,3,2,-1,143,326,332,0.6,1,3.3,météo très défavorable,Angers
2021-01-04,2,0,16,0,2,2,3.2,98,3625,1015,100,2,1,-3,338,338,332,2.5,1,3.3,météo très défavorable,Angers
2021-01-05,3,-1,16,-1,3,2,0.5,96,6125,1018,99,3,1,-4,326,332,371,0.3,1,3.3,météo très défavorable,Angers
2021-01-06,2,-1,7,-1,1,2,0.3,96,7.75,1020,86625,2,0,-4,332,116,368,0.2,1,3.3,météo très défavorable,Angers
2021-01-07,4,-1,8,-1,2,2,0,94,9,1020,71.75,4,1,-3,143,116,119,0,1,6.9,météo très défavorable,Angers
2021-01-08,4,-1,8,-1,3,2,0,93,10,1020,83.75,4,0,-3,122,119,122,0,2,3.3,météo très défavorable,Angers
2021-01-09,4,-2,26,-2,2,2,0,94,9,1024,20,4,0,-6,143,116,116,0,2,6.9,météo très défavorable,Angers
2021-01-10,4,-1,22,-1,3,1,0,92,10,1025,10875,4,0,-7,116,116,116,0,2,8.7,météo très défavorable,Angers
2021-01-11,5,-2,9,-2,3,4,0,92,10,1026,26.75,5,3,-4,116,116,116,0,2,8.7,météo très défavorable,Angers
2021-01-12,10,6,27,6,8,10,0,90,10,1024,98625,10,8,2,122,122,122,0,2,3.3,météo défavorable,Angers
2021-01-13,10,8,23,9,9,9,0.9,91,7375,1026,80125,10,8,5,266,119,116,0,2,3.3,météo défavorable,Angers
2021-01-14,12,8,24,8,11,10,1.3,90,8875,1026,90.5,12,9,5,119,266,176,0,2,3.3,météo défavorable,Angers
2021-01-15,8,5,22,5,6,3,0,82,10,1030,47875,8,5,1,119,116,116,0,1,6.9,météo très défavorable,Angers
2021-01-16,5,1,21,1,3,3,3.2,92,7.75,1030,91.5,5,8,-2,116,266,266,0,2,3.4,météo très défavorable,Angers
2021-01-17,7,2,9,2,6,6,0,96,7,1028,61375,7,4,0,143,122,122,0,1,3.4,météo très défavorable,Angers
2021-01-18,7,1,14,1,5,5,0.2,92,10,1031,57.25,7,3,0,116,116,176,0,1,6.9,météo très défavorable,Angers
2021-01-19,8,5,24,5,7,8,0,88,10,1023,71.75,8,6,1,116,122,122,0,3,5.2,météo très défavorable,Angers
2021-01-20,10,7,40,8,9,10,1.1,77,8,1009,79375,10,7,3,176,116,266,0,3,6.9,météo défavorable,Angers
2021-01-21,10,6,46,6,8,10,10.5,83,8.25,999,85.25,10,9,2,176,122,302,0,2,3.4,météo défavorable,Angers
2021-01-22,5,4,28,5,4,4,24.7,94,6.25,998,85125,5,5,-1,116,302,302,0,1,3.4,météo très défavorable,Angers
2021-01-23,7,2,31,3,5,4,11.4,97,8375,1002,74.75,7,3,-4,122,338,176,3.4,2,3.4,météo très défavorable,Angers
2021-01-24,6,1,24,1,5,4,3.4,88,8625,1004,74875,6,4,-1,119,122,302,0,2,3.4,météo très défavorable,Angers
2021-01-25,5,1,20,1,4,3,0,88,10,1018,38375,5,0,-4,116,122,116,0,2,6.9,météo très défavorable,Angers
2021-01-26,5,-1,12,-1,4,4,0.6,83,8.75,1023,50625,5,0,-3,116,122,122,0,2,3.5,météo très défavorable,Angers
2021-01-27,11,6,13,6,10,11,2.2,98,7,1019,100,11,11,4,122,248,176,0,2,3.5,météo défavorable,Angers
2021-01-28,13,12,30,12,13,12,5.3,93,9.5,1017,100,13,12,9,122,296,296,0,3,3.5,météo défavorable,Angers
2021-01-29,12,10,33,10,12,10,3.7,91,8625,1010,77,12,11,7,263,353,122,0,3,5.2,météo défavorable,Angers
2021-01-30,11,10,29,11,11,9,7.7,90,9,1006,90625,11,10,7,296,353,353,0,3,4.9,météo défavorable,Angers
2021-01-31,10,9,13,9,9,9,10,96,7,1002,94.25,10,8,7,143,122,176,0,2,4.9,météo défavorable,Angers
2021-02-01,12,10,29,10,11,11,10.5,94,7.5,1005,94,12,10,7,176,293,176,0,3,4.9,météo défavorable,Angers
2021-02-02,13,12,32,12,13,13,3,93,8,1007,99625,13,11,10,296,266,353,0,3,4.9,météo défavorable,Angers
2021-02-03,12,10,45,12,10,10,8.4,83,8625,1009,95375,12,11,5,302,176,353,0,3,4.9,météo défavorable,Angers
2021-02-04,13,8,13,8,11,11,1.4,93,8875,1011,71.75,13,9,6,116,176,176,0,4,4.9,météo défavorable,Angers
2021-02-05,12,6,9,6,10,10,0.3,96,7375,1012,78625,12,7,4,143,119,122,0,2,4.9,météo défavorable,Angers
2021-02-06,8,7,22,8,8,7,23,95,7875,1008,99375,8,8,4,296,302,302,0,2,5,météo très défavorable,Angers
2021-02-07,7,2,21,2,6,4,0.2,95,9,1003,43625,7,3,-1,116,116,353,0,2,8.3,météo très défavorable,Angers
2021-02-08,4,-2,14,-2,2,3,0,91,10,1000,37125,4,0,-4,116,116,116,0,2,9.9,météo très défavorable,Angers
2021-02-09,2,-2,24,-2,2,0,8.6,81,8625,1002,61.25,2,1,-5,116,116,317,0,1,6.6,météo très défavorable,Angers
2021-02-10,0,-3,22,-2,-2,-3,6.4,94,7.75,1020,66.25,0,0,-9,122,338,113,0.7,1,8.3,météo très défavorable,Angers
2021-02-11,1,-5,26,-5,-1,0,0.1,83,9625,1022,56.25,1,0,-11,116,122,122,0,2,5,météo très défavorable,Angers
2021-02-12,0,-3,28,-2,-2,-2,4.3,88,8.25,1026,65,0,0,-10,311,317,116,0.3,1,8.3,météo très défavorable,Angers
2021-02-13,0,-5,21,-5,-2,-2,0,72,10,1031,36.5,0,0,-11,116,122,116,0,2,8.3,météo très défavorable,Angers
2021-02-14,6,-3,17,-3,3,5,0,61,10,1031,43125,6,3,-8,116,122,116,0,2,8.3,météo très défavorable,Angers
2021-02-15,8,3,20,3,6,8,0,89,10,1027,67.5,8,6,-1,122,122,122,0,3,5.1,météo très défavorable,Angers
2021-02-16,11,6,31,6,11,9,0.2,91,10,1023,45.5,11,8,2,116,116,353,0,3,8.4,météo défavorable,Angers
2021-02-17,13,9,27,9,12,10,0.2,94,10,1020,61.25,13,8,6,119,122,176,0,4,6.7,météo correcte,Angers
2021-02-18,11,10,33,11,11,7,4.3,91,8875,1015,74.25,11,9,6,119,266,296,0,3,6.8,météo défavorable,Angers
2021-02-19,13,4,23,4,11,12,0,95,10,1015,51.5,13,9,1,116,116,119,0,2,6.8,météo correcte,Angers
2021-02-20,17,11,39,11,15,15,0,80,10,1011,17125,17,9,7,116,116,116,0,4,10.7,météo correcte,Angers
2021-02-21,16,10,23,10,14,13,0,73,10,1009,49.5,16,10,8,119,119,116,0,3,10,météo correcte,Angers
2021-02-22,15,10,19,10,14,14,0.1,73,10,1017,90,15,10,8,122,122,119,0,4,5.4,météo défavorable,Angers
2021-02-23,14,8,21,8,12,12,0.4,90,10,1029,41,14,9,5,122,116,113,0,3,10.8,météo correcte,Angers
2021-02-24,17,9,23,9,15,14,0,94,9375,1030,12.75,17,11,7,116,116,113,0,4,10.9,météo correcte,Angers
2021-02-25,14,9,10,9,13,13,0,89,10,1031,66625,14,10,7,116,116,122,0,4,7,météo défavorable,Angers
2021-02-26,11,4,16,4,9,9,0.6,95,6625,1037,39.25,11,7,1,143,113,176,0,2,10.1,météo très défavorable,Angers
2021-02-27,10,2,22,2,8,8,0,88,10,1038,2375,10,3,-1,116,116,116,0,3,11,météo très défavorable,Angers
2021-02-28,10,3,26,3,8,8,0,91,10,1034,1375,10,4,-2,116,113,113,0,3,11,météo très défavorable,Angers
2021-03-01,14,3,13,3,10,11,0,94,8,1029,9,14,7,0,143,116,116,0,3,11.1,météo correcte,Angers
2021-03-02,15,6,14,6,12,13,0,93,9,1027,22.25,15,10,4,143,116,116,0,4,11.1,météo correcte,Angers
2021-03-03,14,7,7,7,12,12,0.2,92,10,1029,68,14,9,6,116,122,176,0,4,5.6,météo défavorable,Angers
2021-03-04,11,5,9,5,10,10,0.2,94,9,1026,63875,11,7,4,116,116,176,0,2,7.1,météo très défavorable,Angers
2021-03-05,8,4,24,4,6,5,0.2,91,10,1029,61.75,8,6,0,122,122,116,0,2,8.6,météo très défavorable,Angers
2021-03-06,8,-1,23,-1,6,6,0,76,10,1029,2,8,0,-6,113,116,113,0,2,11.2,météo très défavorable,Angers
2021-03-07,10,-1,14,-1,7,7,0,82,10,1027,0,10,0,-6,113,113,113,0,2,11.3,météo très défavorable,Angers
2021-03-08,9,-2,14,-2,7,6,0,88,10,1023,0.5,9,0,-6,113,113,113,0,2,11.3,météo très défavorable,Angers
2021-03-09,10,-1,7,-1,7,9,0,93,10,1024,16375,12,2,-4,116,116,113,0,3,11.3,météo très défavorable,Angers
2021-03-10,10,1,24,1,8,9,0,90,10,1022,69.25,10,5,-2,116,119,119,0,3,5.9,météo très défavorable,Angers
2021-03-11,12,11,39,12,12,10,7,92,7.25,1017,75.25,12,11,8,296,302,353,0,3,7.3,météo défavorable,Angers
2021-03-12,11,5,35,5,11,9,1.2,88,9875,1017,54375,11,5,2,116,116,353,0,3,7.3,météo très défavorable,Angers
2021-03-13,10,9,43,9,10,7,6.4,82,9375,1013,80875,10,6,5,353,302,353,0,2,5.9,météo défavorable,Angers
2021-03-14,11,2,26,2,9,9,1.7,89,9.75,1024,45625,11,4,-3,116,116,176,0,2,8.8,météo très défavorable,Angers
2021-03-15,12,6,26,6,11,10,0.3,89,10,1025,75125,12,7,2,122,176,353,0,2,7.4,météo défavorable,Angers
2021-03-16,12,7,8,7,10,12,2.5,98,4125,1030,89.25,12,10,6,248,143,353,0,3,6,météo défavorable,Angers
2021-03-17,9,5,27,5,9,8,0,91,10,1032,35.25,9,8,2,113,116,116,0,2,10.2,météo très défavorable,Angers
2021-03-18,9,2,19,2,8,7,0.1,95,8,1031,63.25,9,4,-2,143,122,176,0,3,6,météo très défavorable,Angers
2021-03-19,9,7,31,7,8,6,3.5,95,9.75,1026,64875,9,6,3,296,176,116,0,3,8.8,météo défavorable,Angers
2021-03-20,10,0,22,0,8,9,0,82,10,1030,6.25,10,2,-4,116,116,116,0,3,11.6,météo très défavorable,Angers
2021-03-21,10,2,12,2,10,9,0.4,97,7,1029,60375,10,7,0,143,119,176,0,3,6.1,météo très défavorable,Angers
2021-03-22,12,1,14,1,9,10,0,94,9,1027,6875,12,4,-3,116,116,113,0,3,11.6,météo très défavorable,Angers
2021-03-23,13,2,9,2,10,11,0,92,10,1027,6875,13,5,0,116,116,113,0,3,11.6,météo correcte,Angers
2021-03-24,14,3,20,3,13,12,0.1,91,10,1024,38.75,14,8,1,116,116,122,0,3,9,météo correcte,Angers
2021-03-25,12,7,13,7,11,11,2.5,97,7.5,1022,85.75,12,9,6,248,119,353,0,3,6.3,météo défavorable,Angers
