DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,5,2,17,2,4,4,20.8,83,8875,1016,64875,5,1,-2,320,116,176,5.7,1,5.8,météo très défavorable,Brest
2021-01-02,7,4,19,4,6,5,4.3,89,9.75,1019,79.5,7,3,3,353,353,176,0,2,2.1,météo très défavorable,Brest
2021-01-03,5,4,18,4,5,4,11.1,87,8.25,1017,86.25,5,3,0,320,362,362,0,1,2.1,météo très défavorable,Brest
2021-01-04,5,3,24,3,4,5,12.9,92,8.5,1018,94625,5,3,-1,317,317,296,0,1,2.1,météo très défavorable,Brest
2021-01-05,5,4,26,4,5,5,9.9,90,8875,1020,95625,5,3,0,296,317,362,0,1,2.1,météo très défavorable,Brest
2021-01-06,5,3,12,4,4,5,7.5,94,9,1020,86,5,3,1,296,362,317,0,1,2.1,météo très défavorable,Brest
2021-01-07,5,1,7,1,3,5,0.9,85,9875,1020,58,5,2,0,116,119,176,0,2,2.1,météo très défavorable,Brest
2021-01-08,5,3,6,3,4,4,8,92,9.25,1020,77625,5,3,1,317,317,362,0,1,2.1,météo très défavorable,Brest
2021-01-09,5,0,22,0,4,4,0.3,90,9875,1027,31.5,5,1,-4,116,113,116,0,1,5.8,météo très défavorable,Brest
2021-01-10,6,1,13,1,5,4,0,84,10,1028,42.25,6,2,-2,116,116,122,0,2,2.1,météo très défavorable,Brest
2021-01-11,9,6,21,6,8,8,1.2,86,9875,1028,90.25,9,6,4,119,176,176,0,2,2.1,météo défavorable,Brest
2021-01-12,11,10,33,10,11,10,1.6,87,9,1024,93.25,11,9,6,176,353,353,0,3,2.1,météo défavorable,Brest
2021-01-13,10,9,24,9,9,7,0.4,85,10,1027,86,10,8,6,176,176,176,0,2,2.1,météo défavorable,Brest
2021-01-14,11,10,34,11,11,10,1.5,92,9,1026,79.75,11,10,7,266,353,176,0,3,2.1,météo défavorable,Brest
2021-01-15,8,7,14,7,8,7,0,86,10,1030,55.25,8,5,4,116,119,116,0,3,2.1,météo très défavorable,Brest
2021-01-16,11,9,31,9,11,10,8.6,97,7.5,1028,98,11,11,5,266,266,296,0,4,2.1,météo défavorable,Brest
