DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,2,-1,12,-1,2,1,0,91,10,1012,64125,2,0,-3,116,119,122,0,1,5.1,météo très défavorable,Dijon
2021-01-02,2,-1,19,-1,2,2,0,89,10,1013,81125,2,0,-6,119,116,122,0,2,3.3,météo très défavorable,Dijon
2021-01-03,1,-1,10,-1,1,1,1.5,93,7,1015,94.25,1,0,-4,122,338,338,0.8,1,3.3,météo très défavorable,Dijon
2021-01-04,1,-1,5,-1,1,1,0,93,9.75,1013,99625,1,0,-1,122,122,122,0,1,3.3,météo très défavorable,Dijon
2021-01-05,2,-1,11,-1,1,0,0,93,7375,1015,86.75,2,0,-5,143,122,326,0,2,3.3,météo très défavorable,Dijon
2021-01-06,2,-2,4,-2,1,1,0.7,94,7,1018,87,2,0,-2,119,326,371,0.5,1,3.3,météo très défavorable,Dijon
2021-01-07,2,-1,7,-1,1,1,0.3,96,9,1018,89,2,0,-2,326,116,368,0,1,3.3,météo très défavorable,Dijon
2021-01-08,1,-2,7,-2,1,0,0.1,93,9.75,1020,67.25,1,0,-3,119,326,119,0,1,3.3,météo très défavorable,Dijon
2021-01-09,1,-3,23,-3,0,-1,0,91,10,1021,48125,1,0,-8,116,119,122,0,2,6.9,météo très défavorable,Dijon
2021-01-10,0,-4,23,-4,-1,-2,0,91,10,1022,24125,0,0,-10,116,116,116,0,2,8.7,météo très défavorable,Dijon
2021-01-11,1,-4,9,-4,0,-1,0,92,10,1025,13,1,0,-8,116,116,116,0,2,8.7,météo très défavorable,Dijon
2021-01-12,4,1,21,1,3,3,9.8,97,9,1025,94375,5,5,-4,122,302,296,0,1,3.3,météo très défavorable,Dijon
2021-01-13,5,2,10,2,4,4,11.7,98,4375,1022,99.25,7,6,2,143,143,302,0,1,3.3,météo très défavorable,Dijon
2021-01-14,7,6,23,6,7,6,12.9,92,7.75,1023,98,7,6,2,266,296,296,0,2,3.3,météo très défavorable,Dijon
2021-01-15,6,2,17,6,4,0,6.5,96,7125,1027,87.25,6,5,-2,176,266,338,1,1,3.4,météo très défavorable,Dijon
2021-01-16,1,-3,6,-3,0,0,0.8,91,9375,1029,65625,1,0,-5,116,116,122,0,2,6.9,météo très défavorable,Dijon
2021-01-17,4,2,13,2,4,2,6.8,99,5625,1029,80.75,4,3,-1,266,266,116,3.7,1,5.1,météo très défavorable,Dijon
2021-01-18,3,-1,7,-1,3,1,0,95,6375,1031,69,3,1,-1,143,122,116,0,1,3.4,météo très défavorable,Dijon
2021-01-19,3,-1,19,-1,2,1,0,94,9,1027,29.75,3,1,-6,116,116,116,0,1,8.7,météo très défavorable,Dijon
2021-01-20,9,3,37,3,9,8,0,91,10,1015,55875,9,6,-2,116,122,116,0,3,6.9,météo très défavorable,Dijon
2021-01-21,11,9,42,9,10,10,4.6,80,6875,1003,85.25,11,7,4,266,266,176,0,2,3.4,météo défavorable,Dijon
2021-01-22,9,7,25,7,7,8,5.7,90,6875,999,94875,9,6,3,296,266,263,0,2,3.4,météo défavorable,Dijon
2021-01-23,5,2,20,2,4,3,1.9,95,8.25,1002,86,5,2,-2,119,122,122,0,1,3.4,météo très défavorable,Dijon
2021-01-24,4,-1,14,-1,3,2,0.7,91,8.25,1006,62375,4,0,-3,371,116,116,0.2,1,8.7,météo très défavorable,Dijon
2021-01-25,2,1,19,1,2,1,2.3,90,6.5,1017,82,2,0,-3,332,371,338,1.8,1,3.4,météo très défavorable,Dijon
2021-01-26,3,-2,8,-2,2,1,0.2,94,9.75,1025,57.5,3,0,-4,116,119,368,0.1,1,5.2,météo très défavorable,Dijon
2021-01-27,3,-1,15,-1,2,3,0.4,88,9,1024,85.75,3,2,-5,119,122,266,0,2,3.5,météo très défavorable,Dijon
2021-01-28,10,6,24,6,9,10,3.8,98,6625,1019,99.25,10,9,2,296,266,296,0,2,3.5,météo défavorable,Dijon
2021-01-29,10,7,28,10,10,8,11.9,93,9,1011,86.75,10,9,7,302,176,176,0,2,3.5,météo défavorable,Dijon
2021-01-30,9,6,22,7,7,8,4.8,95,9.5,1011,85.5,9,7,3,122,302,353,0,3,3.5,météo défavorable,Dijon
2021-01-31,7,4,3,4,6,7,0.8,94,8375,1002,89,7,6,4,119,122,176,0,2,3.5,météo très défavorable,Dijon
2021-02-01,10,8,20,8,10,9,10.3,92,6.5,1005,95125,10,8,5,296,266,353,0,2,3.5,météo défavorable,Dijon
2021-02-02,10,6,28,6,9,7,5.2,95,7,1010,89875,10,9,3,122,296,266,0,3,3.5,météo défavorable,Dijon
2021-02-03,12,9,37,9,12,8,0.6,95,9,1013,68875,12,9,7,176,266,176,0,3,3.5,météo défavorable,Dijon
2021-02-04,8,6,4,6,8,7,6.8,94,7625,1015,79875,8,7,5,116,122,302,0,3,3.5,météo très défavorable,Dijon
2021-02-05,11,8,4,8,10,9,7.5,97,5.75,1014,94625,11,9,8,266,266,266,0,2,3.6,météo défavorable,Dijon
2021-02-06,10,7,7,7,9,10,0.6,91,6625,1009,75,10,7,6,143,119,263,0,2,3.7,météo défavorable,Dijon
