DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,5,3,10,3,4,4,3.1,95,6.75,1013,80375,5,2,0,338,176,176,1.3,1,4.9,météo très défavorable,Lille
2021-01-02,5,1,8,1,5,4,0,89,10,1016,39,5,3,-2,116,119,116,0,2,6.8,météo très défavorable,Lille
2021-01-03,3,1,15,1,3,3,0.1,96,5625,1019,83.5,3,2,-1,143,143,326,0,1,3,météo très défavorable,Lille
2021-01-04,3,2,21,2,3,2,0.5,94,7.75,1017,100,3,2,-3,326,338,332,0.3,1,3,météo très défavorable,Lille
2021-01-05,3,2,20,2,2,2,0.7,94,8375,1019,99625,3,1,-3,338,122,122,0.5,1,3,météo très défavorable,Lille
2021-01-06,3,1,10,1,2,2,1.1,93,6125,1018,94375,3,1,-2,332,332,332,0.9,1,3.2,météo très défavorable,Lille
2021-01-07,4,2,14,2,4,3,1.5,94,6125,1017,94.25,4,2,-1,143,371,371,0.9,1,3.2,météo très défavorable,Lille
2021-01-08,4,0,11,0,3,2,0,86,9375,1021,41375,4,0,-3,116,116,119,0,1,8.6,météo très défavorable,Lille
2021-01-09,4,1,9,1,3,3,0.9,92,9,1026,41.25,4,1,-1,116,116,116,0.7,1,8.6,météo très défavorable,Lille
2021-01-10,4,1,5,1,3,2,0,85,10,1027,32,4,0,-1,116,116,116,0,2,8.6,météo très défavorable,Lille
2021-01-11,6,1,16,1,5,5,0.4,94,10,1025,70125,6,4,-3,116,119,176,0,2,3.2,météo très défavorable,Lille
2021-01-12,8,7,26,8,8,7,15.5,91,8875,1016,93125,8,7,4,302,176,353,0,2,3.2,météo très défavorable,Lille
2021-01-13,5,1,8,1,4,4,1.8,91,8.25,1020,78875,5,3,-2,116,122,266,0,2,3.2,météo très défavorable,Lille
2021-01-14,4,2,25,3,2,0,30.7,96,5.75,1019,100,4,2,-3,266,302,296,0,1,3.3,météo très défavorable,Lille
2021-01-15,1,-1,15,-1,0,0,2,88,8875,1030,69.75,1,0,-5,326,122,116,0.4,1,5.1,météo très défavorable,Lille
2021-01-16,0,-1,19,-1,0,-2,1.7,89,9.75,1030,81.5,0,0,-5,116,122,317,0,1,3.3,météo très défavorable,Lille
2021-01-17,4,2,15,2,4,4,0.5,94,8625,1026,78125,4,3,-2,116,116,176,0,1,5.1,météo très défavorable,Lille
2021-01-18,5,2,19,2,4,4,0.4,94,10,1027,67375,5,3,-2,116,116,176,0,1,5.1,météo très défavorable,Lille
2021-01-19,10,7,34,7,10,9,10,91,9125,1017,95.5,10,8,2,296,296,176,0,2,3.3,météo défavorable,Lille
2021-01-20,8,7,32,8,7,8,2.2,82,7,1004,95.25,8,5,3,266,266,119,0,2,3.3,météo très défavorable,Lille
2021-01-21,8,6,33,6,7,7,12,75,9.25,993,92.5,9,5,1,302,119,122,0,2,3.3,météo très défavorable,Lille
2021-01-22,7,3,14,3,5,6,2.8,88,9875,994,88.75,7,3,0,176,116,122,0,2,3.3,météo très défavorable,Lille
2021-01-23,5,3,22,3,5,4,0.1,88,9875,998,82625,5,2,-1,200,122,176,0,1,3.3,météo très défavorable,Lille
2021-01-24,3,0,17,0,3,2,2.9,78,9.25,1001,64.75,3,1,-4,311,116,122,0.2,2,6.9,météo très défavorable,Lille
2021-01-25,4,1,15,1,4,3,2.5,95,8.5,1012,81.5,4,1,-3,119,323,179,1.4,1,3.4,météo très défavorable,Lille
2021-01-26,5,1,16,1,4,3,0.6,85,9875,1019,45.75,5,2,-3,116,116,176,0,2,6.9,météo très défavorable,Lille
2021-01-27,7,3,23,3,6,7,3.1,97,5.75,1017,98,7,6,-2,176,266,266,0.7,2,3.4,météo très défavorable,Lille
2021-01-28,12,8,31,8,11,11,12.7,97,7,1013,98625,12,10,6,296,389,122,0,3,3.4,météo défavorable,Lille
