DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,2,1,10,1,2,1,0.6,94,8125,1012,82875,2,0,-2,371,371,122,0.3,1,3.1,météo très défavorable,Metz
2021-01-02,2,-2,14,-2,1,0,0,92,10,1014,36.75,2,0,-5,116,116,116,0,1,8.2,météo très défavorable,Metz
2021-01-03,1,-2,11,-2,0,1,0.2,93,9625,1015,73,1,0,-5,116,122,122,0.1,2,3.1,météo très défavorable,Metz
2021-01-04,1,-1,8,1,1,1,2.1,98,5.75,1014,99375,1,1,-1,332,338,326,1.8,1,3.1,météo très défavorable,Metz
2021-01-05,2,0,15,0,2,0,0.9,94,8,1015,90375,3,1,-4,119,326,332,0.7,1,3.1,météo très défavorable,Metz
2021-01-06,1,0,10,0,1,1,1.9,97,4.75,1017,99.75,1,1,-3,122,338,368,1.5,1,3.1,météo très défavorable,Metz
2021-01-07,0,-2,14,-2,0,-1,1,97,6125,1017,94.5,0,0,-4,332,119,371,0.8,1,3.1,météo très défavorable,Metz
2021-01-08,0,0,14,0,0,-1,1.1,95,7.25,1020,85.25,0,0,-5,332,326,122,0.9,1,3.1,météo très défavorable,Metz
2021-01-09,0,-3,15,-3,-1,-2,0.1,95,8,1024,64.75,0,0,-6,143,116,116,0.1,1,6.8,météo très défavorable,Metz
2021-01-10,-1,-4,17,-4,-1,-2,0,91,10,1025,20.5,0,0,-9,116,116,116,0,1,8.3,météo très défavorable,Metz
2021-01-11,1,-3,6,-3,0,-1,0,83,10,1025,25.5,1,0,-6,116,116,116,0,2,8.7,météo très défavorable,Metz
2021-01-12,4,3,30,3,4,4,12.3,95,6375,1020,100,4,4,-3,332,302,266,2,1,3.3,météo très défavorable,Metz
2021-01-13,4,-2,16,-2,2,3,3.3,92,8,1021,66.75,4,2,-4,116,122,266,0,2,3.3,météo très défavorable,Metz
2021-01-14,2,0,12,0,0,0,21.7,100,3.5,1022,100,2,2,-3,338,338,338,14.5,1,3.3,météo très défavorable,Metz
2021-01-15,-1,-3,18,-3,-2,-4,4.8,91,7,1028,53.5,0,0,-9,338,116,116,4.1,1,8.7,météo très défavorable,Metz
2021-01-16,-3,-7,5,-7,-4,-4,0.1,95,6625,1029,62,0,0,-7,116,143,143,0,2,8.7,météo très défavorable,Metz
