DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,7,5,34,6,6,3,5.8,89,8.5,1007,94875,7,5,0,296,122,119,0,2,3.4,météo très défavorable,Nimes
2021-01-02,4,2,31,2,3,4,17.3,91,6375,1008,92.75,4,1,-4,320,338,266,2.1,1,3.4,météo très défavorable,Nimes
2021-01-03,5,2,30,2,5,4,0,64,10,1012,60.75,5,0,-3,116,116,122,0,2,5.2,météo très défavorable,Nimes
2021-01-04,3,2,20,2,2,2,9.2,92,7625,1012,94,3,0,-3,119,122,317,1.7,1,3.4,météo très défavorable,Nimes
2021-01-05,5,2,17,2,4,3,0,86,10,1013,59.75,5,0,-2,122,116,116,0,1,8.7,météo très défavorable,Nimes
2021-01-06,5,-1,13,-1,3,3,0,67,10,1018,5875,5,0,-5,116,116,113,0,2,8.7,météo très défavorable,Nimes
2021-01-07,4,-1,25,-1,3,3,0,65,10,1017,51.75,4,0,-5,119,116,122,0,2,6.9,météo très défavorable,Nimes
2021-01-08,4,0,28,0,3,2,0,72,10,1016,53125,4,0,-6,116,113,122,0,1,5.2,météo très défavorable,Nimes
2021-01-09,4,1,32,1,3,3,0,68,10,1015,80.75,4,0,-5,122,122,116,0,1,6.9,météo très défavorable,Nimes
2021-01-10,3,1,30,1,3,2,0,67,10,1017,46625,3,0,-6,116,116,116,0,2,5.2,météo très défavorable,Nimes
2021-01-11,4,0,24,0,3,3,0,65,10,1023,33.5,4,0,-6,116,119,113,0,1,6.9,météo très défavorable,Nimes
2021-01-12,10,0,22,0,7,7,0,66,10,1023,17.5,10,1,-4,116,116,116,0,3,8.7,météo très défavorable,Nimes
2021-01-13,14,7,25,7,13,12,0,79,10,1023,26875,14,6,4,116,116,116,0,4,8.7,météo correcte,Nimes
2021-01-14,13,7,30,7,12,10,0,67,10,1023,7875,13,4,3,116,116,116,0,3,8.7,météo correcte,Nimes
2021-01-15,11,7,23,7,11,9,0,70,10,1021,39.75,11,3,4,116,116,116,0,3,6.9,météo défavorable,Nimes
2021-01-16,5,2,30,2,4,3,0,62,10,1025,22,5,0,-4,113,116,116,0,2,8.7,météo très défavorable,Nimes
2021-01-17,11,4,24,4,9,8,0,77,10,1024,22125,11,2,1,116,113,113,0,3,8.7,météo très défavorable,Nimes
2021-01-18,8,3,28,3,7,6,0,68,10,1027,8875,8,0,-2,116,116,116,0,3,8.7,météo très défavorable,Nimes
2021-01-19,9,1,9,1,6,7,0,80,10,1027,21.5,9,1,-1,116,116,116,0,3,8.7,météo très défavorable,Nimes
2021-01-20,13,10,37,10,13,13,3.6,89,9875,1020,85625,13,9,7,176,353,176,0,4,3.5,météo défavorable,Nimes
2021-01-21,13,11,24,11,13,12,3.4,87,10,1010,86.5,13,9,9,353,122,176,0,3,3.5,météo défavorable,Nimes
2021-01-22,12,8,20,8,12,9,2,92,9625,1006,64625,12,8,7,116,119,293,0,3,3.5,météo défavorable,Nimes
2021-01-23,9,5,42,5,8,8,0.1,74,10,1004,53625,9,2,2,116,122,116,0,2,5.2,météo très défavorable,Nimes
2021-01-24,9,5,18,5,8,8,4.7,85,9.75,1007,47875,9,4,1,296,116,116,0,2,8.7,météo très défavorable,Nimes
2021-01-25,9,6,21,6,8,6,0,81,10,1016,53.5,9,4,3,119,122,116,0,2,5.2,météo défavorable,Nimes
2021-01-26,8,2,27,2,6,5,0,62,10,1022,27,8,0,-3,116,116,116,0,2,5.3,météo très défavorable,Nimes
2021-01-27,11,2,14,2,8,9,0,57,10,1022,35375,11,2,-1,116,116,116,0,3,7,météo très défavorable,Nimes
2021-01-28,15,8,8,8,13,14,0,81,10,1020,44875,15,9,7,116,116,119,0,4,5.3,météo correcte,Nimes
2021-01-29,16,12,19,12,15,13,0,87,10,1016,44625,16,10,10,122,122,116,0,4,7,météo correcte,Nimes
2021-01-30,10,8,8,8,8,10,6.1,88,8875,1014,56.25,10,7,7,116,116,302,0,3,5.3,météo défavorable,Nimes
2021-01-31,15,7,17,7,12,12,0,84,10,1002,28.75,15,6,5,116,116,116,0,4,8.7,météo correcte,Nimes
2021-02-01,15,10,24,10,14,12,0.2,77,9875,1007,84,15,7,8,176,122,122,0,3,3.7,météo défavorable,Nimes
2021-02-02,17,10,12,10,14,15,0,80,10,1014,30.25,17,10,8,116,116,116,0,4,8.7,météo correcte,Nimes
2021-02-03,14,10,14,10,13,13,0,93,10,1014,52.25,14,10,8,116,122,116,0,4,5.4,météo correcte,Nimes
2021-02-04,14,10,19,10,14,13,0,88,10,1015,71625,14,11,9,116,122,119,0,4,3.8,météo défavorable,Nimes
2021-02-05,17,11,14,11,15,15,0,88,10,1014,46375,17,10,10,119,116,116,0,4,7.1,météo correcte,Nimes
2021-02-06,16,10,41,10,15,15,0,79,10,1010,39.25,16,10,9,116,122,116,0,4,8.4,météo correcte,Nimes
2021-02-07,13,10,18,10,11,10,0.2,74,10,1004,60125,13,10,8,353,122,116,0,3,8.4,météo correcte,Nimes
2021-02-08,10,6,7,6,10,8,2.1,81,8875,1001,69375,10,7,5,116,116,266,0,3,6.8,météo défavorable,Nimes
2021-02-09,12,9,18,9,12,11,0,79,10,1003,56375,12,7,6,122,116,116,0,3,10,météo défavorable,Nimes
2021-02-10,13,8,23,8,11,11,0.4,76,9,1010,55125,13,7,7,176,122,116,0,3,8.4,météo correcte,Nimes
2021-02-11,9,3,23,3,7,6,0,73,10,1018,3375,9,2,-1,116,116,116,0,3,10.6,météo très défavorable,Nimes
2021-02-12,6,4,12,4,6,5,4.4,80,8875,1018,83,6,5,1,116,122,296,0,3,5.3,météo très défavorable,Nimes
2021-02-13,6,2,25,2,6,3,4.2,82,9125,1027,44875,6,5,-2,176,113,116,0,1,10.7,météo très défavorable,Nimes
2021-02-14,8,2,17,2,7,6,0,65,10,1037,48625,8,0,-1,122,122,116,0,3,10,météo très défavorable,Nimes
2021-02-15,7,2,13,2,5,7,1,78,9,1038,67875,7,4,-1,116,176,176,0,2,5.4,météo très défavorable,Nimes
2021-02-16,11,7,12,7,10,10,0.4,86,10,1033,80.25,11,7,6,122,119,176,0,3,5.4,météo défavorable,Nimes
2021-02-17,16,7,7,7,14,14,0,94,8,1026,17125,16,8,7,143,113,116,0,4,10.8,météo correcte,Nimes
2021-02-18,13,8,24,8,12,12,0.5,78,10,1021,59.75,13,9,6,116,119,353,0,4,5.4,météo correcte,Nimes
2021-02-19,14,10,26,10,12,12,1,82,10,1021,85.25,14,9,8,119,119,353,0,3,5.4,météo défavorable,Nimes
2021-02-20,15,10,30,10,14,13,0,85,10,1021,53375,15,8,8,122,122,113,0,3,8.5,météo correcte,Nimes
2021-02-21,16,9,30,9,15,14,0,87,10,1021,7875,16,8,9,113,113,116,0,4,10.9,météo correcte,Nimes
2021-02-22,14,13,42,14,13,12,4.8,67,7.75,1025,91,14,10,10,176,266,266,0,4,5.5,météo défavorable,Nimes
2021-02-23,14,11,16,11,14,14,12.3,91,8375,1034,95875,14,11,9,296,122,122,0,3,5.5,météo défavorable,Nimes
2021-02-24,17,10,12,10,16,15,0,91,10,1036,3125,17,10,10,116,113,113,0,4,11,météo correcte,Nimes
2021-02-25,17,10,9,10,16,14,0,86,10,1032,1.5,17,10,9,113,113,116,0,4,11,météo correcte,Nimes
2021-02-26,17,9,8,9,15,16,0,79,10,1032,6.25,17,8,9,116,116,116,0,4,11,météo correcte,Nimes
2021-02-27,15,10,22,10,14,13,0.4,80,10,1028,45.75,15,7,8,116,176,176,0,4,5.5,météo correcte,Nimes
2021-02-28,15,8,21,8,13,13,3.3,72,9875,1028,60875,15,6,4,353,116,119,0,3,10.1,météo correcte,Nimes
2021-03-01,15,8,12,8,14,13,0,81,10,1029,8375,15,7,6,116,116,116,0,4,11.1,météo correcte,Nimes
2021-03-02,16,7,14,7,14,13,0,77,10,1032,23,16,6,6,122,116,116,0,4,11.2,météo correcte,Nimes
2021-03-03,15,8,8,8,14,13,0,73,10,1033,13375,15,7,7,116,116,116,0,4,11.2,météo correcte,Nimes
2021-03-04,14,8,13,8,13,12,0.1,82,10,1028,44625,14,9,8,116,119,176,0,4,8.6,météo correcte,Nimes
2021-03-05,15,8,21,8,14,12,0.1,95,7,1020,49,15,8,7,143,116,176,0,4,10.1,météo correcte,Nimes
2021-03-06,15,6,20,6,12,13,0.2,69,10,1024,31875,15,8,3,113,116,116,0,4,10.1,météo correcte,Nimes
2021-03-07,14,9,9,9,14,12,0.2,84,10,1025,63.25,14,8,8,122,116,119,0,4,8.6,météo correcte,Nimes
2021-03-08,15,7,25,7,14,13,0,86,10,1019,11.5,15,6,4,116,116,116,0,4,11.3,météo correcte,Nimes
2021-03-09,14,6,26,6,12,11,0,65,10,1019,2875,14,1,3,113,113,116,0,4,11.4,météo correcte,Nimes
2021-03-10,14,5,25,5,12,12,0,67,10,1022,3375,14,2,1,113,113,116,0,4,11.4,météo correcte,Nimes
2021-03-11,16,9,9,9,15,14,0,58,10,1022,44625,16,6,9,116,116,116,0,4,11.4,météo correcte,Nimes
2021-03-12,15,10,14,10,14,13,0,65,10,1020,38,15,6,8,116,116,116,0,3,10.1,météo correcte,Nimes
2021-03-13,15,7,22,7,14,12,0,73,10,1021,23125,15,4,5,116,116,122,0,4,10.2,météo correcte,Nimes
2021-03-14,13,8,30,8,12,11,0,63,10,1023,37.75,13,4,5,116,116,116,0,4,10.2,météo correcte,Nimes
2021-03-15,14,6,35,6,13,12,0,61,10,1024,29375,14,3,2,116,116,116,0,4,11.6,météo correcte,Nimes
2021-03-16,14,7,36,7,12,11,0,66,10,1024,5625,14,2,3,116,116,116,0,4,11.6,météo correcte,Nimes
2021-03-17,13,7,41,7,13,10,0,76,10,1024,31375,13,3,5,116,116,116,0,4,11.6,météo correcte,Nimes
2021-03-18,11,5,37,5,9,8,0,61,10,1021,19.25,11,0,0,116,116,116,0,3,11.6,météo très défavorable,Nimes
2021-03-19,10,4,30,4,9,9,0,58,10,1016,89375,10,0,0,122,122,119,0,3,6,météo très défavorable,Nimes
2021-03-20,10,3,42,3,9,8,0,66,10,1018,5875,10,0,-2,116,113,113,0,3,11.6,météo très défavorable,Nimes
2021-03-21,11,3,40,3,8,11,0,48,10,1021,17.5,11,0,-3,116,116,116,0,3,11.6,météo très défavorable,Nimes
2021-03-22,12,6,48,6,10,11,0,62,10,1017,12.75,12,0,1,116,116,116,0,3,11.6,météo défavorable,Nimes
2021-03-23,13,5,29,5,11,11,0,65,10,1023,3875,13,1,0,113,116,116,0,3,11.6,météo correcte,Nimes
2021-03-24,18,6,14,6,15,18,0,70,10,1024,8875,20,5,4,116,116,113,0,4,11.6,météo favorable,Nimes
2021-03-25,18,7,7,7,16,15,0,81,10,1022,37.25,18,6,6,122,116,122,0,4,10.3,météo favorable,Nimes
2021-03-26,16,8,16,8,15,14,0,90,10,1025,35.25,16,9,7,116,116,122,0,4,9,météo correcte,Nimes
2021-03-27,19,9,17,9,17,17,0,89,10,1027,15.75,20,10,7,116,116,116,0,4,11.6,météo favorable,Nimes
2021-03-28,18,10,18,10,17,15,0,91,10,1030,24625,18,10,9,116,116,116,0,4,11.6,météo favorable,Nimes
2021-03-29,19,9,14,9,18,18,0,76,10,1034,0.25,20,9,8,116,113,113,0,5,11.6,météo favorable,Nimes
2021-03-30,21,10,13,10,20,18,0,78,10,1033,1,21,9,9,113,113,116,0,5,11.6,météo favorable,Nimes
2021-03-31,20,10,14,10,20,18,0,65,10,1029,20375,21,7,10,116,116,116,0,5,10.3,météo favorable,Nimes
2021-04-01,21,11,14,11,20,19,0,54,10,1024,7.75,22,6,11,116,113,116,0,5,11.6,météo favorable,Nimes
2021-04-02,22,11,8,11,20,20,0,55,10,1019,57,23,5,10,116,116,116,0,5,9,météo correcte,Nimes
2021-04-03,17,11,49,11,16,16,0.1,55,10,1013,14375,17,4,8,113,113,113,0,3,11.6,météo correcte,Nimes
2021-04-04,13,9,30,9,12,13,0,48,10,1017,35125,13,2,5,116,122,116,0,4,9,météo correcte,Nimes
2021-04-05,21,8,11,8,18,19,0,59,10,1017,13625,21,2,7,116,113,116,0,5,11.6,météo favorable,Nimes
2021-04-06,12,6,38,6,11,10,0,68,10,1015,17625,13,3,1,119,113,116,0,3,11.6,météo défavorable,Nimes
2021-04-07,12,3,39,3,10,10,0,44,10,1024,0.75,12,0,-2,116,116,113,0,3,11.6,météo très défavorable,Nimes
2021-04-08,15,3,17,3,14,13,0,48,10,1025,15125,15,5,0,113,116,116,0,4,11.6,météo correcte,Nimes
2021-04-09,14,8,24,8,14,13,0.2,74,10,1024,72.5,14,6,6,116,176,122,0,3,6.5,météo défavorable,Nimes
2021-04-10,10,7,9,7,10,10,8.4,85,6.5,1021,100,10,8,6,176,176,266,0,2,6.6,météo défavorable,Nimes
2021-04-11,14,11,32,11,14,13,3,87,9125,1015,100,14,11,10,176,122,200,0,3,6.6,météo défavorable,Nimes
2021-04-12,13,5,36,5,12,10,0.7,84,10,1024,26125,13,8,1,116,116,116,0,2,11.6,météo correcte,Nimes
2021-04-13,14,7,42,7,13,13,0,42,10,1024,1625,14,0,3,113,113,116,0,4,11.6,météo correcte,Nimes
2021-04-14,15,5,26,5,13,13,0,55,10,1024,19125,15,0,1,116,116,116,0,4,11.6,météo correcte,Nimes
2021-04-15,15,6,27,6,13,13,0,58,10,1021,1875,15,0,2,116,113,116,0,4,11.6,météo correcte,Nimes
2021-04-16,15,6,22,6,14,14,0,58,10,1018,20.75,15,0,2,116,116,116,0,4,11.6,météo correcte,Nimes
2021-04-17,14,7,36,7,13,13,0,62,10,1017,40625,14,1,3,122,116,116,0,3,11.6,météo correcte,Nimes
2021-04-18,16,7,35,7,15,14,0,62,10,1018,9875,16,2,4,116,116,116,0,4,11.6,météo correcte,Nimes
2021-04-19,18,7,20,7,16,16,0,65,10,1018,23875,18,4,5,116,116,116,0,4,11.6,météo favorable,Nimes
2021-04-20,17,8,18,8,17,14,0,63,10,1016,44125,17,8,7,116,116,116,0,4,8.1,météo correcte,Nimes
2021-04-21,11,10,25,10,10,11,41.2,95,7375,1018,100,11,9,7,296,308,296,0,3,6.9,météo très défavorable,Nimes
2021-04-22,18,10,9,10,15,17,0,86,10,1017,41.25,18,9,9,119,116,116,0,4,11.6,météo favorable,Nimes
2021-04-23,22,10,19,10,19,19,0,81,10,1020,8375,23,9,9,116,116,116,0,5,11.6,météo favorable,Nimes
2021-04-24,21,11,19,11,21,18,0,72,10,1022,10.5,22,10,11,116,116,116,0,5,11.6,météo favorable,Nimes
2021-04-25,20,12,15,12,20,17,0,73,10,1020,33375,20,9,12,116,116,116,0,5,11.6,météo favorable,Nimes
2021-04-26,19,12,8,12,19,17,2.9,65,9875,1015,54375,19,10,11,116,116,353,0,5,9.3,météo favorable,Nimes
2021-04-27,14,13,9,14,14,10,13.2,88,8375,1006,86125,14,12,12,119,266,302,0,3,7,météo défavorable,Nimes
2021-04-28,19,13,23,13,19,16,0.9,90,8625,1007,61875,19,12,13,116,176,176,0,4,8.2,météo correcte,Nimes
2021-04-29,15,13,15,13,14,14,29.4,95,6625,1009,100,16,14,12,389,356,356,0,3,7,météo très défavorable,Nimes
2021-04-30,18,14,6,14,16,17,3.4,90,10,1011,82.75,18,13,14,122,353,353,0,5,7,météo défavorable,Nimes
2021-05-01,15,12,13,12,14,12,46.2,95,7875,1011,85.5,15,13,11,116,353,308,0,4,7.1,météo très défavorable,Nimes
2021-05-02,18,9,21,9,17,15,0.1,78,9625,1018,24375,18,6,7,116,116,116,0,3,11.6,météo favorable,Nimes
2021-05-03,19,7,21,7,16,18,0,72,10,1021,1875,19,7,4,113,113,116,0,4,11.6,météo favorable,Nimes
2021-05-04,21,11,14,11,20,18,0,69,10,1019,24875,21,9,11,116,116,116,0,5,10.5,météo favorable,Nimes
2021-05-05,22,14,22,14,21,19,0,69,10,1014,49.75,24,9,13,122,116,116,0,5,10.5,météo favorable,Nimes
2021-05-06,20,12,15,12,18,18,0,65,10,1016,39125,20,12,12,116,116,116,0,5,11.6,météo favorable,Nimes
2021-05-07,22,15,24,15,21,20,0.2,79,9375,1016,51625,24,12,15,263,116,116,0,5,11.6,météo favorable,Nimes
2021-05-08,23,13,17,13,23,19,0,71,10,1018,8.5,24,11,13,116,116,116,0,5,11.6,météo favorable,Nimes
2021-05-09,23,14,40,14,23,22,0.4,71,10,1016,16125,25,11,14,116,116,116,0,6,11.6,météo favorable,Nimes
2021-05-10,18,16,41,17,17,16,17.7,88,9,1010,87625,18,14,16,353,353,302,0,4,7.2,météo très défavorable,Nimes
2021-05-11,19,14,27,14,19,15,14.8,86,8.75,1014,64875,19,13,13,356,353,353,0,4,8.3,météo défavorable,Nimes
2021-05-12,19,10,17,10,18,17,0,62,10,1014,15625,19,6,8,116,116,116,0,5,11.6,météo favorable,Nimes
2021-05-13,19,11,24,11,18,17,0,58,10,1012,29,19,7,9,116,116,116,0,5,11.6,météo favorable,Nimes
2021-05-14,19,12,17,12,18,18,0,67,10,1013,40875,19,6,11,116,119,116,0,5,12.4,météo correcte,Nimes
2021-05-15,15,12,5,12,14,14,0.1,65,9375,1013,73625,15,10,12,116,122,122,0,4,9.3,météo défavorable,Nimes
2021-05-16,20,13,11,13,17,20,0.6,84,8375,1013,79875,22,12,13,122,266,116,0,4,11.4,météo défavorable,Nimes
2021-05-17,21,13,29,13,20,20,0,62,10,1017,24.75,22,6,13,119,116,116,0,5,14.5,météo favorable,Nimes
2021-05-18,20,12,29,12,19,18,0,57,10,1024,11.75,20,7,10,116,116,116,0,5,14.5,météo favorable,Nimes
2021-05-19,20,12,29,12,20,16,0,62,10,1020,22.75,20,5,10,116,116,122,0,5,13.5,météo favorable,Nimes
2021-05-20,20,12,35,12,19,18,0,58,10,1023,6125,20,5,9,116,116,116,0,5,14.5,météo favorable,Nimes
2021-05-21,21,13,25,13,20,19,0.1,59,10,1021,25125,21,13,12,116,116,116,0,5,14.5,météo favorable,Nimes
2021-05-22,19,11,19,11,18,18,1.4,80,8.75,1015,63375,19,12,9,293,119,116,0,4,12.4,météo correcte,Nimes
2021-05-23,23,12,18,12,20,21,0,60,10,1019,12.75,23,5,10,116,116,116,0,5,14.5,météo favorable,Nimes
2021-05-24,19,12,20,12,15,19,20.9,92,8625,1018,61875,19,12,11,302,302,116,0,5,12.5,météo très défavorable,Nimes
2021-05-25,22,12,19,12,19,21,0,53,10,1024,7625,22,5,10,113,113,116,0,5,14.5,météo favorable,Nimes
2021-05-26,24,13,12,13,23,22,0,56,10,1022,16875,24,11,12,116,116,116,0,5,14.5,météo favorable,Nimes
2021-05-27,26,15,20,15,24,24,0,65,10,1018,14,26,10,15,116,113,116,0,6,14.5,météo idéale,Nimes
2021-05-28,26,15,20,15,24,24,0,62,10,1019,6,25,11,15,113,116,116,0,6,14.5,météo favorable,Nimes
2021-05-29,27,17,21,17,27,25,0,69,10,1018,23.75,27,12,17,116,116,116,0,6,14.5,météo favorable,Nimes
2021-05-30,28,17,18,17,26,25,0,64,9.75,1018,12625,27,13,17,116,116,116,0,6,14.5,météo favorable,Nimes
2021-05-31,24,16,18,16,24,22,1.5,79,10,1018,36875,25,14,16,116,116,116,0,5,13.5,météo favorable,Nimes
