DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,5,0,8,0,3,2,0,90,10,1015,17125,5,0,-2,116,116,116,0,2,8.7,météo très défavorable,Rennes
2021-01-02,5,0,9,0,3,3,0.1,91,8375,1018,52375,5,3,-1,116,116,119,0,2,5.1,météo très défavorable,Rennes
2021-01-03,2,0,10,0,2,2,1,97,6.25,1016,93375,2,2,-2,122,143,338,0.4,2,3.3,météo très défavorable,Rennes
2021-01-04,3,0,16,0,3,2,0.9,95,7.75,1017,95.25,3,1,-4,122,332,332,0.4,1,3.3,météo très défavorable,Rennes
2021-01-05,3,0,13,0,2,1,0,96,8375,1019,85875,3,1,-4,326,122,119,0,1,3.3,météo très défavorable,Rennes
2021-01-06,3,-1,8,-1,2,2,0,91,10,1020,66.25,3,0,-4,116,119,122,0,2,6.9,météo très défavorable,Rennes
2021-01-07,4,-1,6,-1,3,3,0,90,9375,1020,55875,4,1,-3,116,116,119,0,1,6.9,météo très défavorable,Rennes
2021-01-08,4,-1,10,-1,3,2,0.4,91,8.75,1020,81625,4,1,-4,119,116,317,0,1,3.3,météo très défavorable,Rennes
2021-01-09,4,-2,22,-2,2,2,0,93,10,1025,7625,4,0,-6,116,116,116,0,2,8.7,météo très défavorable,Rennes
2021-01-10,5,-2,15,-2,3,2,0,92,10,1027,6,5,0,-6,116,116,116,0,2,8.7,météo très défavorable,Rennes
2021-01-11,6,0,13,0,5,5,0.1,90,10,1027,48.75,6,3,-1,116,116,122,0,2,6.9,météo très défavorable,Rennes
2021-01-12,10,6,24,6,10,9,0,91,10,1023,90.25,10,8,2,122,122,122,0,2,3.3,météo défavorable,Rennes
2021-01-13,10,8,20,8,10,9,0.2,93,10,1026,83875,10,8,5,122,176,176,0,2,5.1,météo défavorable,Rennes
2021-01-14,11,8,23,8,11,9,1.7,91,8,1025,88.5,11,10,5,119,266,176,0,2,3.3,météo défavorable,Rennes
2021-01-15,7,5,18,5,6,4,0.3,81,10,1030,57,7,4,1,176,119,116,0,2,6.9,météo très défavorable,Rennes
2021-01-16,8,2,27,2,5,6,5.1,95,8.5,1030,95.75,9,9,-2,119,296,266,0,2,3.3,météo très défavorable,Rennes
2021-01-17,8,3,9,3,7,6,0,92,7625,1028,69125,8,3,1,143,122,122,0,2,3.4,météo très défavorable,Rennes
2021-01-18,7,2,18,2,5,7,0,94,10,1031,70,7,5,-1,116,122,122,0,2,3.4,météo très défavorable,Rennes
2021-01-19,11,9,30,9,10,10,0.5,93,9,1021,98375,11,8,6,266,176,176,0,2,3.4,météo défavorable,Rennes
2021-01-20,10,9,37,9,9,7,6.4,90,7125,1006,93125,10,9,5,302,176,266,0,2,3.4,météo défavorable,Rennes
2021-01-21,10,5,38,5,8,9,21.2,85,8625,996,70625,12,7,1,116,353,308,0,2,3.4,météo très défavorable,Rennes
2021-01-22,7,4,14,4,6,5,4.8,92,9625,998,67.75,7,4,1,116,296,176,0,2,3.4,météo très défavorable,Rennes
2021-01-23,7,3,22,3,6,4,3.2,88,9.75,1001,64875,7,2,0,122,296,116,0,2,5.2,météo très défavorable,Rennes
2021-01-24,6,0,25,0,5,4,0.9,89,9.25,1003,69625,6,3,-3,116,122,176,0,2,3.4,météo très défavorable,Rennes
2021-01-25,6,1,17,1,4,3,0,86,10,1018,37875,6,0,-3,119,116,116,0,2,8.7,météo très défavorable,Rennes
2021-01-26,5,-1,21,-1,4,4,0.1,78,9375,1022,62625,5,2,-5,116,122,122,0,2,3.4,météo très défavorable,Rennes
2021-01-27,11,7,17,7,11,10,3,98,4625,1018,99375,12,11,5,248,248,296,0,2,3.4,météo défavorable,Rennes
2021-01-28,13,12,23,12,13,13,0.7,93,8,1015,95625,13,12,9,176,266,266,0,3,4.8,météo défavorable,Rennes
2021-01-29,12,8,28,8,11,9,1.8,93,8.75,1010,73,12,11,6,116,176,122,0,2,6.5,météo défavorable,Rennes
2021-01-30,11,10,29,10,10,9,6.5,91,9375,1004,98.25,11,10,6,302,353,353,0,2,4.8,météo défavorable,Rennes
2021-01-31,9,7,17,8,8,8,4.6,95,8.75,1003,100,9,9,5,122,122,266,0,2,4.8,météo défavorable,Rennes
