DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,LIEU
2021-01-01,4,2,4,2,3,2,4.2,89,8625,1012,53125,4,2,1,329,323,116,0.3,1,8.2,météo très défavorable,Strasbourg
2021-01-02,2,-1,13,-1,2,1,0,91,10,1013,74.5,2,0,-4,122,116,119,0,1,5,météo très défavorable,Strasbourg
2021-01-03,1,-1,9,-1,1,1,1.2,91,7.75,1014,95625,1,1,-3,122,326,326,1,1,3.1,météo très défavorable,Strasbourg
2021-01-04,2,1,7,1,2,1,2.5,98,6,1013,92.5,2,0,0,338,332,119,2.1,1,3.1,météo très défavorable,Strasbourg
2021-01-05,3,0,11,0,2,2,0.5,94,8375,1014,87.5,3,2,-3,122,326,326,0.2,2,3.1,météo très défavorable,Strasbourg
2021-01-06,2,1,8,1,2,2,5.8,97,2.5,1017,100,2,1,-1,338,338,332,4.9,1,3.1,météo très défavorable,Strasbourg
2021-01-07,2,-1,6,-1,1,0,1.2,93,6125,1017,87125,2,0,-3,332,326,371,1,1,3.1,météo très défavorable,Strasbourg
2021-01-08,2,-2,9,-2,1,0,0.8,88,8,1020,90875,2,0,-5,326,332,326,0.7,1,3.1,météo très défavorable,Strasbourg
2021-01-09,1,-2,15,-2,1,-1,0,89,10,1023,77.75,1,0,-4,119,122,119,0,2,3.1,météo très défavorable,Strasbourg
2021-01-10,0,-2,14,-2,0,-1,0,84,10,1024,30.5,0,0,-5,116,116,116,0,1,8.4,météo très défavorable,Strasbourg
2021-01-11,0,-3,8,-3,0,-1,0,88,10,1025,14125,0,0,-4,116,116,116,0,2,8.4,météo très défavorable,Strasbourg
2021-01-12,3,0,22,0,3,3,11.7,94,8.75,1021,96,3,3,-5,122,296,296,0,1,3.1,météo très défavorable,Strasbourg
2021-01-13,4,-1,10,-1,3,3,3.8,88,9375,1021,81.25,4,2,-2,122,116,122,0,1,6.9,météo très défavorable,Strasbourg
2021-01-14,2,1,5,1,1,1,20.7,98,2.75,1023,97375,2,2,-1,338,338,338,11.2,1,3.3,météo très défavorable,Strasbourg
2021-01-15,0,-3,10,-3,-2,-3,8.2,94,7,1028,53375,0,0,-7,338,116,116,7,1,8.7,météo très défavorable,Strasbourg
2021-01-16,-4,-8,7,-8,-5,-5,0,95,4,1030,49375,0,0,-10,143,143,143,0,2,8.7,météo très défavorable,Strasbourg
2021-01-17,2,0,10,0,2,1,7.1,100,5.25,1026,99375,2,2,-4,338,266,332,4.2,1,3.3,météo très défavorable,Strasbourg
2021-01-18,1,-1,9,-1,1,0,1.7,99,4.5,1029,80.75,1,1,-4,143,338,248,1.4,1,3.3,météo très défavorable,Strasbourg
2021-01-19,3,-1,18,-1,2,2,1.4,87,8,1026,74.25,3,1,-5,116,122,266,0,2,3.4,météo très défavorable,Strasbourg
2021-01-20,5,1,15,1,4,4,0,85,10,1014,52.75,5,2,-3,116,122,116,0,2,3.4,météo très défavorable,Strasbourg
2021-01-21,7,3,26,3,6,7,0.9,88,8875,1003,77.75,7,5,-2,116,119,266,0,2,5.1,météo très défavorable,Strasbourg
2021-01-22,7,5,22,7,7,6,3.1,85,6.75,997,94.25,7,5,3,176,266,266,0,2,3.4,météo très défavorable,Strasbourg
2021-01-23,6,3,10,3,5,4,6.3,91,8.75,1000,85625,6,2,0,317,119,176,1.5,1,3.4,météo très défavorable,Strasbourg
