date,temperatures1,temperatures2,precipitations,Avis
01/05/2020,15,21,0,favorable
02/05/2020,18,20,0,favorable
03/05/2020,17,19,0,favorable
04/05/2020,12,18,0,favorable
05/05/2020,17,18,0,favorable
06/05/2020,17,18,1.9,favorable
07/05/2020,17,21,1,favorable
08/05/2020,19,20,0,correct
09/05/2020,18,19,0,favorable
10/05/2020,17,19,3.8,correct
11/05/2020,10,17,56,très défavorable
12/05/2020,13,17,0.1,correct
13/05/2020,16,18,4.3,correct
14/05/2020,13,18,8,correct
15/05/2020,15,17,34.3,très défavorable
16/05/2020,14,17,0.9,défavorable
17/05/2020,14,20,6.5,défavorable
18/05/2020,18,22,1,favorable
19/05/2020,19,22,1.9,correct
20/05/2020,20,23,1.1,favorable
21/05/2020,15,21,0.2,favorable
22/05/2020,20,22,0.1,favorable
23/05/2020,17,21,0,favorable
24/05/2020,20,22,0.5,favorable
25/05/2020,21,22,0,favorable
26/05/2020,15,22,0,favorable
27/05/2020,19,20,0.5,correct
28/05/2020,20,21,3.2,favorable
29/05/2020,11,20,5,défavorable
30/05/2020,18,20,0.1,favorable
31/05/2020,19,20,1,correct
01/04/2019,14,17,0,correct
02/04/2019,13,15,0.2,correct
03/04/2019,11,12,3.5,défavorable
04/04/2019,8,14,0.2,correct
05/04/2019,10,14,0,correct
06/04/2019,12,13,22.1,très défavorable
07/04/2019,11,15,9.8,défavorable
08/04/2019,13,15,0,correct
09/04/2019,13,16,0,correct
10/04/2019,14,18,0.2,favorable
11/04/2019,14,16,0.6,défavorable
12/04/2019,13,18,0,correct
13/04/2019,12,19,0,favorable
14/04/2019,10,17,0,correct
15/04/2019,11,15,0.1,correct
16/04/2019,12,15,3.2,correct
17/04/2019,13,16,0,correct
18/04/2019,14,17,0,correct
19/04/2019,16,18,0,favorable
20/04/2019,16,19,0,favorable
21/04/2019,16,18,1.6,correct
22/04/2019,17,20,0,favorable
23/04/2019,14,16,1.5,défavorable
24/04/2019,14,16,2.5,correct
25/04/2019,14,15,9.6,défavorable
26/04/2019,13,17,3.9,correct
27/04/2019,14,18,0,favorable
28/04/2019,12,17,0,correct
29/04/2019,13,18,0,favorable
30/04/2019,14,18,0,favorable
01/05/2021,12,15,46.2,très défavorable
02/05/2021,9,18,0.1,favorable
03/05/2021,7,19,0,favorable
04/05/2021,11,21,0,favorable
05/05/2021,14,22,0,favorable
06/05/2021,12,20,0,favorable
07/05/2021,15,22,0.2,favorable
08/05/2021,13,23,0,favorable
09/05/2021,14,23,0.4,favorable
10/05/2021,16,18,17.7,très défavorable
11/05/2021,14,19,14.8,défavorable
12/05/2021,10,19,0,favorable
13/05/2021,11,19,0,favorable
14/05/2021,12,19,0,correct
15/05/2021,12,15,0.1,défavorable
16/05/2021,13,20,0.6,défavorable
17/05/2021,13,21,0,favorable
18/05/2021,12,20,0,favorable
19/05/2021,12,20,0,favorable
20/05/2021,12,20,0,favorable
21/05/2021,13,21,0.1,favorable
22/05/2021,11,19,1.4,correct
23/05/2021,12,23,0,favorable
24/05/2021,12,19,20.9,très défavorable
25/05/2021,12,22,0,favorable
26/05/2021,13,24,0,favorable
27/05/2021,15,26,0,idéal
28/05/2021,15,26,0,favorable
29/05/2021,17,27,0,favorable
30/05/2021,17,28,0,favorable
31/05/2021,16,24,1.5,favorable
01/04/2021,12,22,0,favorable
02/04/2021,9,14,0,correct
03/04/2021,4,11,0,très défavorable
04/04/2021,4,14,0,correct
05/04/2021,5,12,3.9,très défavorable
06/04/2021,-2,6,1.5,très défavorable
07/04/2021,-2,6,2.2,très défavorable
08/04/2021,0,9,0.3,très défavorable
09/04/2021,2,15,0,correct
10/04/2021,9,17,2.1,défavorable
11/04/2021,11,17,5.8,défavorable
12/04/2021,3,7,20.1,très défavorable
13/04/2021,1,9,0.7,très défavorable
14/04/2021,1,10,0.3,très défavorable
15/04/2021,1,10,0.7,très défavorable
16/04/2021,1,8,0.1,très défavorable
17/04/2021,2,10,0.1,très défavorable
18/04/2021,5,10,0,très défavorable
19/04/2021,7,14,1.7,défavorable
20/04/2021,6,15,0.1,correct
21/04/2021,7,18,1.5,favorable
22/04/2021,8,13,0.8,correct
23/04/2021,6,14,0,correct
24/04/2021,7,17,0,correct
25/04/2021,7,17,0,correct
26/04/2021,6,16,0,correct
27/04/2021,3,14,0,correct
28/04/2021,9,17,0.6,correct
29/04/2021,9,16,2.7,correct
30/04/2021,7,12,2.7,défavorable
01/07/2019,29,35,6.4,correct
02/07/2019,22,27,4,favorable
03/07/2019,22,29,9.3,défavorable
04/07/2019,23,30,1.9,favorable
05/07/2019,26,33,0.2,favorable
06/07/2019,27,35,4.7,favorable
07/07/2019,26,30,4.3,favorable
08/07/2019,23,29,0.3,favorable
09/07/2019,19,25,4,favorable
10/07/2019,19,25,0,idéal
11/07/2019,21,28,0,favorable
12/07/2019,24,29,0,favorable
13/07/2019,21,26,1.3,favorable
14/07/2019,19,26,0,favorable
15/07/2019,17,24,0.1,favorable
16/07/2019,20,27,0,favorable
17/07/2019,23,29,0.1,favorable
18/07/2019,24,28,0,favorable
19/07/2019,23,30,0,favorable
20/07/2019,25,29,15.3,défavorable
21/07/2019,25,31,12.3,correct
22/07/2019,26,34,0,favorable
23/07/2019,29,37,0,correct
24/07/2019,30,38,0,correct
25/07/2019,29,37,0.5,favorable
26/07/2019,28,35,2,favorable
27/07/2019,21,26,33.5,très défavorable
28/07/2019,17,20,28.2,très défavorable
29/07/2019,20,28,0,favorable
30/07/2019,22,25,0,favorable
31/07/2019,19,25,0,favorable
01/02/2020,12,14,20.6,très défavorable
02/02/2020,13,16,15.9,défavorable
03/02/2020,11,13,8.6,défavorable
04/02/2020,7,8,9.2,très défavorable
05/02/2020,6,9,0.1,défavorable
06/02/2020,4,10,0,très défavorable
07/02/2020,5,10,0,très défavorable
08/02/2020,8,10,1.4,défavorable
09/02/2020,9,12,2.2,défavorable
10/02/2020,9,13,10.5,défavorable
11/02/2020,7,8,10.3,très défavorable
12/02/2020,5,9,1.7,très défavorable
13/02/2020,8,10,13.7,défavorable
14/02/2020,8,11,0.6,défavorable
15/02/2020,8,13,0,correct
16/02/2020,14,16,4.4,défavorable
17/02/2020,9,12,8,défavorable
18/02/2020,6,11,0.5,défavorable
19/02/2020,7,9,10,défavorable
20/02/2020,9,10,2.6,défavorable
21/02/2020,6,9,0.5,défavorable
22/02/2020,7,12,0,défavorable
23/02/2020,12,14,0.9,défavorable
24/02/2020,11,12,1.9,défavorable
25/02/2020,8,11,7.7,défavorable
26/02/2020,2,7,9.5,très défavorable
27/02/2020,6,10,12,défavorable
28/02/2020,5,7,1.1,très défavorable
29/02/2020,8,11,2.4,défavorable
01/05/2019,12,16,6,défavorable
02/05/2019,11,14,1,défavorable
03/05/2019,10,14,0.6,correct
04/05/2019,9,11,1.1,défavorable
05/05/2019,8,12,0.1,défavorable
06/05/2019,7,14,0.1,correct
07/05/2019,10,13,0.9,correct
08/05/2019,12,14,5.2,défavorable
09/05/2019,11,15,9.4,défavorable
10/05/2019,10,12,4.9,défavorable
11/05/2019,12,15,2.2,correct
12/05/2019,11,16,0.1,correct
13/05/2019,11,16,0,correct
14/05/2019,12,18,0,favorable
15/05/2019,12,18,0,favorable
16/05/2019,13,17,0.1,correct
17/05/2019,12,16,0.4,correct
18/05/2019,12,17,0.8,défavorable
19/05/2019,13,16,0.8,défavorable
20/05/2019,13,17,4.7,correct
21/05/2019,14,19,0.1,favorable
22/05/2019,15,21,1.2,favorable
23/05/2019,17,20,10,défavorable
24/05/2019,14,17,0.3,correct
25/05/2019,14,18,0.7,défavorable
26/05/2019,14,17,0.7,défavorable
