Exterior_team,score_exterior,scorer_names_ext,Domicile_team,score_dom,scorer_names_dom,lieu_match,date,journee,region,clean_date,temp_max,temp_min,precipitations
Nantes,0,[],Bordeaux,0,[],Bordeaux,2020/08/21,1,aquitaine,2020-08-21 19:00:00+02:00,24°,21°,5mm
Angers,1,['I. Traoré'],Dijon,0,[],Dijon,2020/08/22,1,bourgogne,2020-08-22 17:00:00+02:00,26°,18°,19mm
Rennes,1,['D. Da'],Lille,1,['J. Bamba'],Lille,2020/08/22,1,nord-pas-de-calais,2020-08-22 21:00:00+02:00,21°,17°,1mm
Reims,2,"['B. Dia', 'E. Touré']",Monaco,2,"['A. Disasi', 'B. Badiashile']",Monaco,2020/08/23,1,provence-alpes-c-te-d-azur,2020-08-23 13:00:00+02:00,27°,24°,1mm
Strasbourg,1,['M. Chahiri'],Lorient,3,"['Y. Wissa', 'A. Grbic', 'P. Hamel']",Lorient,2020/08/23,1,bretagne,2020-08-23 15:00:00+02:00,19°,15°,1mm
Brest,0,[],Nîmes,4,"['K. Denkey', 'B. Meling', 'R. Philippoteaux', 'M. Koné']",Nîmes,2020/08/23,1,languedoc-roussillon,2020-08-23 15:00:00+02:00,31°,22°,0mm
Lens,1,['G. Kakuta'],Nice,2,"['A. Gouiri', 'A. Gouiri']",Nice,2020/08/23,1,provence-alpes-c-te-d-azur,2020-08-23 17:00:00+02:00,27°,24°,1mm
Lyon,1,['M. Depay'],Montpellier,2,"['T. Savanier', 'T. Savanier']",Montpellier,2020/09/15,1,languedoc-roussillon,2020-09-15 21:00:00+02:00,26°,21°,0mm
Metz,0,[],Paris-SG,1,['J. Draxler'],Paris,2020/09/16,1,ile-de-france,2020-09-16 21:00:00+02:00,32°,22°,1mm
Saint-Étienne,2,"['R. Hamouma', 'D. Bouanga']",Marseille,0,[],Marseille,2020/09/17,1,provence-alpes-c-te-d-azur,2020-09-17 21:00:00+02:00,27°,26°,0mm
Dijon,1,['A. Scheidler'],Lyon,4,"['M. Depay', 'W. Lautoa', 'M. Depay', 'M. Depay']",Lyon,2020/08/28,2,rh-ne-alpes,2020-08-28 21:00:00+02:00,23°,20°,20mm
Montpellier,1,['+1 G.'],Rennes,2,"['D. Le', 'E. Camavinga']",Rennes,2020/08/29,2,bretagne,2020-08-29 17:00:00+02:00,16°,12°,4mm
Nice,2,"['K. Dolberg', 'K. Dolberg']",Strasbourg,0,[],Strasbourg,2020/08/29,2,alsace,2020-08-29 21:00:00+02:00,19°,14°,1mm
Lille,1,['J. Bamba'],Reims,0,[],Reims,2020/08/30,2,champagne-ardenne,2020-08-30 13:00:00+02:00,20°,10°,2mm
Nîmes,1,['Z. Ferhat'],Nantes,2,"['A. Girotto', 'I. Louza']",Nantes,2020/08/30,2,pays-de-la-loire,2020-08-30 15:00:00+02:00,19°,9°,1mm
Lorient,0,[],Saint-Étienne,2,"['R. Hamouma', 'R. Hamouma']",Saint-Étienne,2020/08/30,2,rh-ne-alpes,2020-08-30 15:00:00+02:00,18°,11°,2mm
Bordeaux,2,"['J. Maja', 'T. Basic']",Angers,0,[],Angers,2020/08/30,2,pays-de-la-loire,2020-08-30 15:00:00+02:00,18°,9°,1mm
Monaco,1,['B. Badiashile'],Metz,0,[],Metz,2020/08/30,2,lorraine,2020-08-30 15:00:00+02:00,20°,14°,1mm
Marseille,3,"['F. Thauvin', 'D. Caleta-Car', 'D. Caleta-Car']",Brest,2,"['R. Faivre', 'G. Charbonnier']",Brest,2020/08/30,2,bretagne,2020-08-30 21:00:00+02:00,17°,12°,1mm
Paris-SG,0,[],Lens,1,['I. Ganago'],Lens,2020/09/10,2,nord-pas-de-calais,2020-09-10 21:00:00+02:00,22°,16°,1mm
Lyon,0,[],Bordeaux,0,[],Bordeaux,2020/09/11,3,aquitaine,2020-09-11 21:00:00+02:00,30°,17°,0mm
Nice,1,['Dante'],Montpellier,3,"['G. Laborde', 'D. Congré', 'D. Congré']",Montpellier,2020/09/12,3,languedoc-roussillon,2020-09-12 17:00:00+02:00,28°,22°,3mm
